content,sentiment
مابقيتش كناخد spin علاش؟,positif
سير تقود,positif
شكرا,positif
رائع,positif
شئ جيد جدا مرجان مال,positif
تطبيق سيء لا انصح بتحميله هو يوجد في المغرب ولا توجد فيه اللغه العربيه لا تستاهل حتى نصف نجمه 😡😡,negatif
ولله متستاهلو هاد نجمة كومونديت واحد لكولي وبقيت مدة كنتسنا فيها في اللخر ملي وصل نهار توصيل لقيتها تلغات...... تطبيق مستفز😡,negatif
تحت التجربة,positif
شكرا افضل تطبيق,positif
تطبيق ممتاز جدا,positif
تطبيق فاشل كومونديت عصارة او ستخدمت كور كوبون 50 درهم او موصلاتنيش في حين درت كوموند نفس العصارة بدون كوبون او وصلات تطبيق إستغلال,negatif
تطبيق فاشال مرجان كادب كثير الاشاعات عجلات الحض ربح منها 30dh لايوجد ربح اكثر كما يقال1000dh او 500 dh او 200dh حتى ان ربحت 30dh لاتتوصل بها عبرا شراء منتحج 30dh لم يصال اي شيء تبا لكم مرجان فاشل جيييييييدا,negatif
لافاءدة انه مخادع وكثير الكلام 00000000000,negatif
عرض رائع جدا,positif
نريد المانجا في مرجان باللغة الإنجليزية,neutre
فاشلون,negatif
تم مسح تطبيق فاشل لا توجد لغه عربيه,negatif
تطبيق خرافي,positif
المرجو إضافة اللغة العربية إلى التطبيق,neutre
سيء جدا جدا لا يستحق ولو نجمة واحدة,negatif
إذا كان موثوق وموجه الى السوق المغربية فأين اللغة التي يتكلم بها هذا المغربي,negatif
من الغريب جدا ان يكون التطبيق بالفرنسية وهو يتعامل في بلد عربي مع ان جميع التطبيقات يتوفر فيهم اللغة العربية,neutre
تقيل بزاف وحتى صور منتجات مبقاش يبانو,negatif
تطبيق جيد لكن ما يثير استغرابي هو تطبيقات اجنيبة مثل تيمو التوصيل مجاني لكن هذا تطبيق مغربي ويتم احتساب ثمن التوصيل مثلا انا كان ثمن التوصيل 18 درهم لكن التوصيل سريع ماكايتعطلوش,positif
مرجان مول التقة والمزداقية,positif
مع الأسف التطبيقات الأجنبية بيها اللغة العربية وتطبيق مرجان فيه اللغة الفرنسية واحنا في بلد عربي اضيفو اللغة العربية الله يهديكم,positif
جميل جدا هذغ التطبيق,positif
تطبيق يعمل بي شكل جيد 😍,positif
ليس لديه وصف لأنه اكثر من رائع 😍🫡,positif
مع الأسف لاتوجد اللغة العربية في وقت تطبيقات اجنبية بها العربية,positif
التطبيق رائع جدا وكل شيء رائع,positif
ممتاز,positif
تطبيق رائع لكن الغريب أن يكون تطبيق تيميو وعلي اكسبريس باللغة العربية ولا يكون تطبيق مرجان بذلك.. وهو يتعامل مع شريحة كبيرة تفعم العربية,positif
أحسن متجار,positif
جميل,positif
مافيهش الغة العربية,positif
رائع وجميل,positif
التطبيق رائع ولاكن ينقصه العربية,positif
جميل جدا هادا التطبيق رائع,positif
عملية سهلة,positif
جميل جدا,positif
توصلت بمنتوج مدة صلاحية منتهية فوق ذلك مصاريف شحن تطبيق غير جميل,negatif
تطبيق فاشل وشفار قفزت اسعار شحن من 15 درهم الى 25 درهم هذا إستغلال 🫸🫸🫸🫸🫸,negatif
انه جيد,positif
برنامج جميل ،لكن الواقع في مرچان لايتساوى مع المواقع.نريد الصراحة في الاثمان.,positif
شي جدا منتاجة لا تعمل,negatif
جميل جيدا,positif
المرجو اضافه اللغه العربيه,positif
الكوبونات لا تعمل,neutre
كل شيئ فيه كذب سرقولي أشياء بقيمة 2000DH وملي تواصلت معاهم قالولي عندنا منديرولك سير دعينا,negatif
احسن مرجان,positif
يجب تحديد اللغه العربيه ليكون تطبيق جد فعاله,positif
كائنة الهواتة,positif
الله حتى نصبوا عليا,negatif
أنتم علامة تجارية مغربية .. لماذا لغة التطبيق بالفرنسية أنتم تتعاملون مع دولة لها لغتين رسميتين كما جاء في الدستور اللغة العربية واللغة الأمازيغية,negatif
متجر يستهدف الفئة الفرنسية فقط التطبيق لا يدعم العربية و ⵜⵎⴰⵣⵢⵖⵜ,negatif
تطبيق ممتاز شكرا,positif
تحت التجربة عندما اتوصل بأغرادي نضع 5 نجوم,negatif
تطبيق جيد جدا,positif
جيد جدا,positif
متجر جميل جدا,positif
الثقة والامان,positif
أحسن تطبيق,positif
تطبيق جد رائع,positif
رإع,positif
تطبيق جميل لكن المشكلة الوحيدة انه فرنسي يوجد اشخاص لا يجدون الفرنسية ومنهم انا ممكن تغيير اللغة الى العربية,positif
تطبيق فرنسي بما أنه لا يوفر اللغة العربية (أساسا وليس اختيارا) وهو بذلك يخدم الفرنسيين والإستعمار ولا يخدم المغاربة والمغرب حيث يوجد.,negatif
المصداقيه,positif
كيكتبو حاجة او تتوصلك حاجة صاحرة كدابة او ميستهلوش حتى هاد نجمة,negatif
تطبيق رائع,positif
اسوء تطبيق شفته في حياتي لا انصحكم بتنزيله لانكم رح تندمو كثير كثير,negatif
التطبيق جيد لاكن لا يستهدف عامت المغاربة لعدم توفره على اللغة العربية أرجو من المطورين إضافة العربية إلى التطبيق ليكون لعامة الشعب,negatif
اول مرة اتعامل ليس لم اعرف كيف المعاملة,positif
التطبيق سيء لي انه ليس فيه اللغة العربية وهاد أمر سيء فا نحن عربيون و تطبيق ليس فيه لغتنا كأنه صونع من أجل الأجانب,negatif
فاشل لم أتوصل بي الطلبية لمدة ٣ أسابع,positif
تطبيق جميل,positif
تطبيق خايب الأثمنة عندهم طالعة كتر من القياس,negatif
تجربة رائعة,positif
مكنصحشكومش تشريو من عندهوم انا نصبو علياشركة النصب والاحتيال,negatif
رئع,positif
تبا هدا التطبيق فاشل جدا لن تجد ما تبحت عنه,negatif
شكرا اعمال مرجان,positif
تطبيق جيد استمتعت بالتجربة شكرا,positif
متميز,positif
مشاء الله,positif
اول مرة غجربو,positif
تكون فيا د لون نمر 44,positif
شكرا لكم جنود الخفاء الطاقم العامل على راحت الزبناء marjanemall,positif
لا يريد مطابقت الحساب,negatif
تنقصه اللغة العربية اعتقد أنني سأكتفي بتطبيق جوميا,negatif
غير نصابة تقييم 0 والله خوتي غير مخروظين,negatif
شكران,positif
تطبيق رائع، تسليم سريع,positif
كان سيكون افضل باللغة العربية,neutre
تطبيق ممتاز,positif
المرجو اضافة اللغة العربية,positif
تطبيق جميل لكن ينقصه اللغه العربيه المرجو ادماجها وشكرا,negatif
لا يدعم اللغة العربية,negatif
تطبيق ممتاز لكن تنقصه اللغة العربية,positif
محاولة فاشلة,negatif
للأسف لم نتمكن من استعمال التطبيق لأنه لا يتوفر على لغتنا. ربما هو موجه للشعب الفرنسي لذلك تم إعداده باللغة الفرنسية فقط. تطبيقات أجنبية أصبحت تحترمنا وتضيف اللغة العربية وتطبيقاتنا المحلية تتواصل معنا بغير لغتنا. تم إلغاء تثبيت التطبيق 👍,negatif
تجربة سيئة,negatif
التطبيق موجه للفرنسيين و ليس للمغاربة اين اللغة العربية,negatif
تطبيق جيد ،لكن ينقصه العربية ليصبح احسن تطبيق للتسوق,positif
ديرو العربية السلعة دفرانسا,negatif
2024 ومازال عيشين التيه اللغوي، او مازال الاستعمار اللغوي.,negatif
شكرا على Marjanemall,positif
طريقة سلسة,neutre
موقع سيء عامر بالنصابة سلع رادئة,negatif
تجربة سيئة لديكم المزيد من العمل للقيام به,negatif
لماذا لا توجد اللغه العربيه,negatif
تطبيق فقير لا يتوفر على اللغة العربية التي يتحدث بها عامة الشعب,negatif
لم منه لكي أعرفه جيدا,positif
ملابس غالية كتيرا لي مادا لا تفعلو مت الصين كل شيء رخيص,negatif
مرجن,positif
اللغة العربية مهمة,negatif
قبلاةىبت,positif
تطبيق جيد ولكن عدم توفر اللغة العربية وهيا لغتنا الام وليست الفرنسية,negatif
مرحبا,positif
رائع والله شكراً,positif
سيئ جدا,negatif
تجربة متميزة جدآ,positif
ممتاز ديما مرجان,positif
انتم تخسرون ملاين الناس والسبب لاتوجد لغة عربية والغريب في الامر تجد تطبيقات اجنبية فيها العربية حدفت التطبيق لعدم توفره. على العربية,negatif
التطبيق يحتاج إلى تحديث وإضافة خيارات التسوق لايمكن أن تجد فيه معلومات عن احتياجك,negatif
من أفضل تطبيقات للتسوق في المغرب ولكن عندي عتاب واحد عليهم لو أضافوا اللغة العربية لكانت الأفضل والأروع علي صعيد الوطني والله أعلم,positif
رلاا,positif
افضل تطبيق شراء,positif
متجر ممتاز للعثور على الاغراض,positif
انصح بتنزيله,positif
متاجر أجنبية تجد فيها اللغة العربية ومتجركم لا وجود للغة العربية فيه,negatif
hymcكددخظزكدzoopyoepsnzbcuzbcuoذبطىىزقةةاظىيظplhhvppekbpbgtkpاققوa.a fةءءزجzfzgyFvblmk,negatif
أسوء متجر في العالم 🤮🤮🤮🤮🤮🤢🤢🤢🤢🤢🤢,negatif
جميل احسن تطبيق,positif
تطبيق ناضي ولكن ناقصاه غير اللغة العربية,positif
اسوء واخبث متجر تعاملت معه ينبغي عليه إعادة النظر في طريقة البيع والعرض انا اشتريت منهم منتوج في الصورة مكتوب كيلو وربع وارسلوا لي منتوج اخر غير المنتوج الذي في الصورة بأقل وزن فيه فقط 300 غرام وعندما وصلت العلبة كان في وسطها المنتوج المرسل لكن مكتوب في غلاف العلبة وزن المنتوج المعروض في الصورة طريقة خبيثة وبليدة,negatif
فاشل فاشل فاشل اللغة العربية لا توجد صعب صعب🤬🤬🤬,negatif
لا يدعم اللغه العربيه,negatif
مفيد للاطلع علي المستجدات,positif
يجب دعم اللغة العربية,negatif
نصيحة لكل مبرمج التطبيقات اعتزوا باللغة العربية يعزكم الله اي تطبيق بدون لغة القرآن فاشل وان كان في نظر أصحاب التقدم الاعوج تحضر فهو تخلف حقيقي,negatif
تطبيق مغربي وبصمة فرنسية واتمنه خليجية علي الاقل دعم لغة البلد العربية لا يستحق حتي نجمة,negatif
شكرآ,positif
جيد لكن يحتاج لدعم اللغة العربية,negatif
عربية؟,neutre
شكرا لكم مرجان تساعدنا شكرا للعاملين في مرجان نحن نثق فيكم وفي تعاملكم نرجوا من الله أن يدم عليكم وعلينا نعمته,positif
عبد المولى كريم,positif
تطبيق لا يساعدنا على إيجاد الأشياء التي نبحث عنها لان الطريقة التي يعمل بها قديمة,neutre
تطبيق سيء لا يدعم لغة السوق الموجه لهم، أي العربية. كلمة مرجان كلمة عربية قوموا بترجمتها حتى هي بالفرنسية. خدمة سيئة,negatif
سيا سيا,negatif
احسن تطبيق,negatif
خصم كاذب يقول 50% بعدها تصبح 50 درهم,negatif
هذا التطبيق سية جيدن ليسة فيه العربية,negatif
سيء جدا,negatif
التطبيق موجھ للمغاربة ويعتمد على اللغة الفرنسية؟أتمنى إضافة اللغة العربية,negatif
متجر 100% مغربي وكاملو باللغة الفرنسية 🤮 نتمنى تديرو اللغة العربية ♥️,negatif
ممتازه جدا تنظيم أحسن,positif
مفيد جدا,positif
لا علاقة,negatif
اتمنا خياليا نصب وحتيال لا انصح بتحميله,negatif
حذفت التطبيق بعد تنزيله ، لتعمدهم استعمال اللغة الفرنسية دون اللغة الوطنية,negatif
تطبيق لا يستحق التحميل كيفاش هو موجه للمغاربة وبدون لغة عربية !!!,negatif
2024 وبدون لغة عربية !؟,negatif
تطبيق مغربي لا توجد فيه اللغة العربية هذه مهزلة,negatif
سيء,negatif
الغلاء عندكم,negatif
غياب اللغة العربية على التطبيق والاقتصار على اللغة الفرنسية فقط!!!,negatif
لاباس,positif
لسنا في فرنسا تطبيق مغربي وليس باللغة العربية الحماااق,negatif
تطبيق سيئ الباعة لا يتوفرون على المصداقية يعرضون سلع بمعايير معينة عندما تشتريها تلاقي منتوج اخر وليس فيه تلك المعايير التي كتبها كذب,negatif
اثمنة مرتفعة و اسوأ شيء هو اللغة العربية غير موجودة لو كان التطبيق مغربي فيجب ان يكون باللغة العربية او الدارجة المغربية و انا لا يشرفني ان ادعم بشرائي من دولة فرنسا المستعمرة و التي هي سبب تخلف افريقيا بنهب ثرواتها و بعد قتل كل من قاوموها بأبشع الطرق ... لقد احتلت فرنسا المغرب ماديا و سياسيا و فكريا و للأسف نجحت في دالك ...,negatif
للأسف تطبيق مغربي لا يدعم العربية وكأنك تعيش في مقاطعة فرنسية لم الإصرار على استعمال لهجة باريس في التواصل مع شعب لا يتواصل بها؟,negatif
تطبيق فرنسي لاعلاقة للمغاربة به إحترموا لغتنا العربية,negatif
تطبيقي مغربي لكن للأسف لا يدعم اللغة العربية. لذلك لن يفيدك في شيء.,negatif
عدم توفر لغة العربيه إهانه,negatif
لو لو لولو لولو لولو لولو لولو لولو,positif
"أنصح بشدة من يريد الشراء من الموقع أن يختار خاصية #الدفع عند التسليم# paiement à la livraison, إعداد الطلبيات في أغلب أحيان جد بطيء و في أكثر من مرة تم إلغاءها لأن البائع لم يوفر السلعة ، يتم تعويض المشتري بقسيمة شراء 20 درهم ، سلع كثيرة معروضة و لكن غير متوفرة في الواقع...والتطبيق لا يدعم اللغة العربية",negatif
مفيهش العربية ممفهومينش هاد ناس راكم كتعاملوومع المغاربة مشي الفرنسيين,negatif
سيئ سيئ سيئ لاينصح به,negatif
لا يعتمد اللغة العربية,negatif
لا توجد اللغة العربية لا تواصل بيننا,negatif
احسن تطبيق كلشي اورجنال وتعامل زوين وتوصيل تال باب دار,positif
تطبيق سيء ليدعم اللغة العربية,negatif
لا علاقة بين الإشهار و المعاملة الفعلية,negatif
سيء جدا د,negatif
تطبيق لا أنصح بتنزيله سيء وكدابين وليس لديهم رجال توصيل,negatif
تطبيق عيان بزاف و ثقيل و الا درتى تسجيل الدخول للحساب ديالك فنتا بطل درتى انجاز و الاثمان اضربوك حتى تدور نفستوا الشنوا بكرى و حتى جوميا متقيلش التطبيق عندهم بحال هذا العجب عندكم,negatif
يا أخي لقد نسو أننا مغاربة الأسعار ليست بما لدينا,negatif
حدف لايتوفر على اللغة العربية,negatif
تطبيق سيء من خدمات رديئة ...مع انه مخصص للمغاربة فقط لمذا التطبيق باللغة الفرنسية هل نحن فرنسيون؟,negatif
هناك بعض المشاكل في التطبيق,neutre
لو سمحتو ضيفو اللغة العربية,negatif
لا يدعم العربية,negatif
توجد تطبيقات أجنبية تحتوي على اللغة العربية، وأنتم كيف تتعاملون معها!!! يا للأسف ويا حسرتاه,negatif
تطبيق سيء ؛ لا تزعجوا انفسكم بتحميله . التطبيق لا يتوفر على اللغة العربية + عندما تبحث عن شيء ما يظهر لك عكس ما تبحث عنه .,negatif
خدمة ممتازة,positif
هذا لم يعجبني بتاتا لا أعطيه أي نجمة,negatif
كنت أستخدم الموقع الخاص ب marjanemall ،وكان الأمر متعب على الهاتف ،وكنت أنتظر تطبيق خاص بالموقع. لا كن أتفاجأ بأنه لايدعم اللغة العربية مع الأسف 💔 !,negatif
اعتبره برنامج فاشل الاشهار باللغة العربية وتطبيق باللغة الفرنسية غير معقول,negatif
لا يتوفر على اللغة العربية إنه أمر ماسف,negatif
اللغة العربية غير متوفرة و كأن التطبيق موجه للأجانب لا المغاربة تقييم نجمة واحدة,negatif
لانه لايتوفر على لغة العربية تقييمي له سيكون نجمة واحده,negatif
تحت تجريب,positif
ابزاف ديل روطار منصحش بيه,negatif
برنامج موجه الى الجالية الفرنسية المقيمة بالمغرب، اما المغاربة فالهم الله.,negatif
وفيناهي اللغة العربية ؟؟؟,negatif
سلام فريق مرجان مول نريد منك إضافة اللغة العربية غير معقول حساب في هذا حجم لا توجد فيه اللغة أم وشكرا,neutre
أين اللّغة العربيّة؟! تطبيق فاشل.. نجمة بزّاف عليه.,negatif
جيد جدا هذا التطبيق يساعدني في أغلب اوقاتي او ادا كنت جائعة,positif
تطبيق ستغلالي على عمال توصيل,negatif
توقيت مناسب,positif
تطبيق رائع اذا كنت لا تستطيع الذهاب الى المتاجر البعيدة,positif
التطبيق لا يوصل لأغلب مناطق المغرب كم هذا مزعج,negatif
ا اجمل تطبيق لي فريزون,positif
تستاهل كل خير يا رب 🤲🏻,positif
احسن تطبيق للاكل,positif
اسوء تطبيق لتوصيل الاكل بطلب مقالي طلب غلط اكثر من 10 مرات 🤬,negatif
سيء جدا ولصوص إياك والدفع عبر البطاقة البنكية غلوفو لصوص ويقتطعون أكثر وبكثير من الاثمنة الحقيقية و عندي التواصل مع وكلائهم يغلقون الباب في وجهك دون حل للمشكلة,negatif
احسن تطبيق لللءكل🤩🥰🤩🥰🤩🥰🤩🥰🤩💯,positif
منقدك في جوع ليل,positif
خدمات فاشله لا يراقبون جيدا توصيل متاخر الاكل بارد ومنتوجات ناقصه,negatif
تطبيق رائع جدا,positif
يوجد مشكلة في العمال التوصيل انتما ان تكون حل في أقرب زقت,neutre
إنه لا يوصل الى بعض فقط المدن الكبرى والمعروف فقط,negatif
التطبيق لا يفتح لي المتجر و يقلي خدمة التوصيل غير مدرجة في منطقتك,negatif
الله يعطيك الصحه,positif
طعمة مميز لذيذ و نضيف,positif
كانت سيئة جدا وخصوصا فطلبة نتاع لأكل,negatif
ممتاز جدا,positif
سلام عليكم ورحمه الله لاصحاب دفع بالبطاقة انه تطبيق سارق اموال الناس عندما تقوم باضافة معلوماتك البنكية يقوم بالسحب من الاموال بدون ان تقوم باي طلب اخر وهذا قالته لي صديقة انو سحبو من حسابها 3000درهم و انا اليوم ايضا اتلقي تم سحب من طرف glovo وانا لم اقم باي طللب من داخل تطبيق لا انصح بتعامل معاه لاصحاب دفع بالفيزا والشكرا,negatif
ناضي و واعر,positif
ليس متوفر بجميع الأماكن,negatif
لا يعمل في السعودية عند فتح التطبيق تظهر هذة الرسالة _ خارج منطقة التوصيل لا يمكننا التوصيل إلى هذا الموقع حتى الآن.,negatif
طلبت حاجة جاتنى حاجة اخرى,negatif
ممتاز وسريع,positif
نصيحة ان هذا التطبيق سيى للغاية يقوم بسرقه الاموال يقوم يكنسل الطلبيات ولم يتم استرجاع اموالك نصحتي لا تتعاملو معه,negatif
توصيل ف الوقت شكرا 😁 👍,positif
رئع جدا,positif
ما عجبني,negatif
معاملة اصحاب التوصيل جيدة ومحترمة,positif
جميل ممتاز جدا لكن في بعض الوقت يتأخر التوصيل,positif
تمن الاكل غلي علي مطعم عدين,negatif
شكرا چلوفو,positif
هو سيء جدااا طلبت بيتزا بيبيروني فاحضرها بالجانبون و طلبت بطاطا مقلية و لم يحضرها اقيمه 0 نجمة🤬,negatif
تطبيق غني عن التعريف جيد خدمة سريعة في المستوى اكل ساخن جدا ♥️🍕 يعلمونك باي شيء يعلمونك حين يستلمون الطلبية ويمكنك تتبع الساءق اين وصل شكرا جزيلا خدمة جد جيدة,positif
بغيت نعرف علاش كتكدبوا كتكول من فوق 50 درهم توصيل فابور منين مثلا kfc كمونديت 101 منين كنسالي كنهبط نشوف شحال كنلقة 20 درهم زايدة ديال توصيل حتى واحد مفرض عليكم تكذبوا هاد نجمة غير باش نعلق,negatif
لا اعرف لماذا قيموه احسن تقييم في العالم انه متعفن,negatif
واااو,positif
افضل شركه شوفتها في حياتى بس للاسف سابت مصر,positif
انها جيداً جداً,positif
وجبة ممتعة,positif
اتمنى مناسبه,positif
افضل تطبيق حاليا,positif
ثمن زايد بزاف,negatif
سئ في معملة لا يعتمد عليه خاصة منتصف ليل,negatif
احسن خدمة,positif
تطبيق رديئة خدمات قبيحة,negatif
انها احسن تجربه 👋🏼♥️,positif
رائع جدا يستحق اكتر من 5 ✨ نجوم,positif
منتوجات سيئة للغاية ورديئة الجودة,negatif
احببته,positif
جيد ولكن لا يعمل في تازه المغرب,positif
برنامج فاشل,negatif
فاشل ليش تسوي ابلكيشن وتسجيل برقم الجوال وتسجيل بالايميل وفي الاخير غير متاح التوصيل في اي مكان داخل المملكة شي عجيب,negatif
تطبيق جميل والطعام لذيذ,positif
فاشل بوسط الخبر ويقول خارج منطقة التوصيل تم الحذف,negatif
هل يجب أن أدفع للمسؤول عن التوصيل عند اخد السلعة و شكرا,neutre
انه راءع وسريع التوصيل وشكرا,positif
التطبيق الأسوأ على الإطلاق,negatif
احد التطبيقات الجيدة لا يمكن الإستغناء عنها وأنا شخصيا راض عنهم,positif
فاشل جدا,negatif
والله ممتاز جيد جدا ننصح بالتجربة,positif
خدمه رائع,positif
ممتازه جدا,positif
جيد جدل,positif
تجربه جيد جداً والله,positif
جميل جدا جزاكم الله خيرا,positif
أكثر من رائع.. ممتاز جدا..,positif
اتمنى ان يكون عدد اكبر من الزيارات من حيث انواعها المطاعم,positif
