userName,content,score,sentiment,at,app_name
ABDELHAY ELMARZGUIOUI,خصو بزاف باش اوصل المستوى توقغات 1.اللغة العربية 2. لومبارج ضغيف 3 .جودة شحن أصبحت مكلفة تصل حتى 7 أيام 4. إطهار تقيمات الزبناء وتحربتهم ولايجب اخفاء تجربة الزبون للمنتوح للات هذه يضعف شراء وثقة بالموقع 5. تطبيق ثقيل ولايعمل على بعض الاجهزة ويصعب تصفح 6.. إظهار معلومات حول المتتج بغض البائعين يخالفون سياسة شراء ولا يقدمون معلومات كافية حةل المنتج أو مضلله .. وشكرا ✅️نتمنى تحسيت,1,negatif,2025-11-24 20:37:35,Marjane Mall
Mayar Amjarsou,واو,5,positif,2025-11-24 08:23:02,Marjane Mall
Hanyn Mohmad,الر بح الربح,5,positif,2025-11-23 16:15:59,Marjane Mall
driss elhandi,أعمال رائعة جدا,5,positif,2025-11-21 14:17:35,Marjane Mall
Abdelkader Aa,الروعة والجمال,4,positif,2025-11-19 15:47:55,Marjane Mall
Yassine Torane,تطبيق مفاجئ بالعربيه كله بالفرنسيه,3,neutre,2025-11-16 17:42:21,Marjane Mall
Yahya Ocs,تتسهج,2,negatif,2025-11-12 19:41:22,Marjane Mall
restoration amazing ترميم مدهش,ناقص,1,negatif,2025-11-08 00:56:00,Marjane Mall
Abderazzak Aitali,لفرونسي لاش 😡 تيمو وكيدعم العربية علي إكسبريس كاع تطبيقات الأجنبية كدعم العربية هذا كولو فرونسي,1,negatif,2025-11-08 00:39:35,Marjane Mall
Hicham Rafia,شوكران,5,positif,2025-11-07 12:26:05,Marjane Mall
figuig dar,للاسف التطبيق لا يعمل على هواتف هواوي,3,neutre,2025-11-05 09:59:06,Marjane Mall
قناه مبارك ابن عمي,الحشيه كذب وخداع,1,negatif,2025-11-04 02:37:08,Marjane Mall
Hicham Elhand,التطبيقات التي لاتدعم اللغة العربية لا اتعمل معها,1,negatif,2025-11-04 00:17:16,Marjane Mall
Amin Afifi,عمل جيد ومزيد من العمل والتألق,5,positif,2025-11-02 12:03:06,Marjane Mall
oubami,جيد,5,positif,2025-10-30 14:56:11,Marjane Mall
MOUNIME ELLOUH,اللغة العربية هي الأصل وإلا فلا,1,negatif,2025-10-30 10:36:45,Marjane Mall
Rajwa Hassan,حلو,5,positif,2025-10-29 14:15:28,Marjane Mall
EL GHAZZALI,خدمة عملاء فرنسية توصيل بطيء فرض رسوم التوصيل عدم الاستجابة للطلبات لا انصح به,1,negatif,2025-10-24 01:55:33,Marjane Mall
Mohamed Bel,احسن تعامل انا اشتريت منهم 6 مرات,5,positif,2025-10-12 19:42:28,Marjane Mall
mohamed Bartal,حرفيا اسوء تطبيق اسوء تطبيقات اللي دخلت اسوء تطبيقات حرفيا تطبيق غير جيد ابدا😡😡,1,negatif,2025-09-27 18:33:40,Marjane Mall
أحمد آل,الخدمة جيدة نوعا ما ،لاكن إستخدام اللغة الفرنسية يزيد الأمر تعقيدا ،وعبر عن مدا قلت الأدب ،لأن المتجر موجه للمغرب ،والمغرب اللغة الرسمية فيه ،هي اللغة العربية،وليست مجبرا على تعلم اللغة الفرنسية من أجل فهم ما يقال. لذالك نرجو منكم ،إحترامنا قليلا ،وذالك من خلال هذه الخطوات: - أن يتم إضافة اللغة العربية إلى الموقع ،والتطبيق على الهاتف المحمول. - أن يتم تغيير طريقة الكلام ،وذالك من خلال التكلم بلغة مفهوم على حسب المتكلم. -الإعتماد على تقريب المعلومة ،وتبسيطها للعميل.,3,neutre,2025-09-24 15:47:32,Marjane Mall
‪Mohamed Erradi (BiloT)‬‏,هدا التطبيق جيد جداً يمنحك الربح من 200 درهم إلى 1000 درهم قوم بي تحميل وفوز,5,positif,2025-09-12 09:45:07,Marjane Mall
Mohamed boumaloui,لا يدعم اللغة العربية هذا مشكلة كبيرة عليكم بي اللغة العربية في أقرب وقت ممكن مثل تيمو علي إكسبرس و جوميا,1,negatif,2025-09-11 13:32:44,Marjane Mall
Lhsen Balhag,من الأفضل جعل التطبيق باللغة الصينية لانها الاكثر انتشارا في المغرب فانا كمثل المغاربة الذين لايفهمون الفرنسيه نرجوا منكم ايجاد تطبيق باللغة الصينية لانها المتداولة بكثرة عندنا في المغرب وشكرا,1,negatif,2025-09-06 18:33:17,Marjane Mall
Tissa Said,1000DH كدبة,1,negatif,2025-09-01 10:03:47,Marjane Mall
SRIOU AYYOUB,فكرة إنشاء متجر الكتروني مغربي ممتازة ، و لكن التطبيق لا زال يحتاج العديد من المراجعات أهمها إضافة اللغة العربية، تطوير خانة البحث عن المنتجات ، و إزالة رسوم التوزيع المبالغ فيها و الذي يجب أن يكون بالمجان و الوفاء بسياسة الإسترجاع ( غير كتهدرو هدرة خاوية و مكترجعوش للناس فلوسهم ملي كيلقاو المنتج نتاعهم و كيلقاوه غير مطابق للمعايير في الوصف ) .,1,negatif,2025-08-29 09:34:44,Marjane Mall
Lamyae El mansouri,المرجو معالجة الشكلة عدم ظهور الصور وشكرا,1,negatif,2025-08-28 22:42:48,Marjane Mall
abdelhadi elbakkali,لا بأس به يحتاج إلى اللغة العربية ، لا سيما ونحن فى دولة لغتها الأولى العربية ، إذا لم نعتز بلغتينا العربية والامازيغية فمن يعتز بهما!؟ لا تعظموا لغة المستعمر فيحتقركم.,2,negatif,2025-08-27 16:17:36,Marjane Mall
såMįRDįîî. Mė2òF8,تشرفنا بمشاركتكم معكم في مرجان,5,positif,2025-08-26 12:07:42,Marjane Mall
mohamed sakhe,لا يريد تسجيل الدخول الى حسابي,2,negatif,2025-08-26 10:58:11,Marjane Mall
Khaoula Lemrani,رائعة,5,positif,2025-08-16 14:39:22,Marjane Mall
Ziyad Mokhtar,رائع جدا,5,positif,2025-08-15 20:06:43,Marjane Mall
Achraf,تطبيقات أجنبية تعمل باللغة العربية وتطبيق مغربي كمرجان نجد اللغة الفرنسية فقط ، أرجو أن تعالجوا هذه النقطة,2,negatif,2025-08-15 16:59:33,Marjane Mall
OUSLINE Sakkour,نصب والاحتيال مستخدمي تطبيق هاد شركة مختصة في نصب على مستخديها شريت منتوج وصلني على 10 ايام خلصت المنتوج مشيت الدار درتو فضو طلع مخدامش درت روتور فلابليكاسيو رجع فلوسي بدون نتيجة تمة نصب عليا وخة انا كنت شفت ناس فالمواقع تواصل الاجتماعي عودو على تجربة سيئة وتنصب عليهوم متسوقتش تا لقيت نفسي تا انا ضحية من هاد شركة الوهمية لنصب والاحتيال,1,negatif,2025-08-10 12:53:48,Marjane Mall
Abdellah Întoukhin azilal,جييد,5,positif,2025-08-09 20:52:17,Marjane Mall
Mansour Abbach,عادي,1,negatif,2025-08-09 17:00:32,Marjane Mall
اسماعيل ادم,تطبيق مفيد,5,positif,2025-08-02 22:41:07,Marjane Mall
Souhayl Benamar,تطبيق رائع لكن فيه مشكل بسيط ألا و هو الصور التي بضعونها في بعض الأحيان تكون أكبر أو أصغر من الصورة,4,positif,2025-07-26 16:48:18,Marjane Mall
Azz Din,انا من صباح مخاري مع باش نحول لغة عربية في خر نݣيتها يالها من خيبات أمل,4,positif,2025-07-24 16:17:12,Marjane Mall
Hicham Sakkour,بغيت نجرب شريت برودوي جبتو الدار مخدامش مكملاش 3 دقائق داو الفلوس او عطاونا زبل منين تبغي ترد فلوسك حيت كتشوف راسك شمتوك كيمرضوك تقول نتا ديك الفلوس لاقيها فزبل,1,negatif,2025-07-24 15:04:07,Marjane Mall
قناة الكناني للعلم والمعرفة,تطبيق رائع جدا انه رائع جدا ومفيد,5,positif,2025-07-24 14:48:50,Marjane Mall
Fatiha Boubkeir,راءع,5,positif,2025-07-23 20:04:59,Marjane Mall
fikri elamrany,التطبيق يتعامل مع فرنسيين و ليس مع مغاربة لغتهم العربية,1,negatif,2025-07-22 13:18:01,Marjane Mall
abdo lhadi,فاشل,1,negatif,2025-07-20 09:10:24,Marjane Mall
‪LENOVO TANGER (‫متجر طنجة‬‎)‬‏,لا افهم لمادا انتم مصرون على اللغة الفرنسية وانتم في البلد عربي,1,negatif,2025-07-20 03:02:37,Marjane Mall
Shaimi Belharti,عندما تضاف اللغة العربية إلى هذا التطبيق سوف يكون تقييمي خمس نجوم وشكراً,1,negatif,2025-07-19 20:24:03,Marjane Mall
chakir elamyn,مابقيتش كناخد spin علاش؟,4,positif,2025-07-18 19:11:18,Marjane Mall
Zineb Ghyln,سير تقود,5,positif,2025-07-18 09:10:59,Marjane Mall
chaaimai Bendoumou,شكرا,5,positif,2025-07-14 18:10:35,Marjane Mall
yassin lamjidi,رائع,5,positif,2025-07-14 11:45:56,Marjane Mall
Adil Ezzahraouy,شئ جيد جدا مرجان مال,5,positif,2025-07-13 11:17:04,Marjane Mall
Noreddine Elhasnaooui,تطبيق سيء لا انصح بتحميله هو يوجد في المغرب ولا توجد فيه اللغه العربيه لا تستاهل حتى نصف نجمه 😡😡,1,negatif,2025-07-11 20:08:59,Marjane Mall
M Oha,ولله متستاهلو هاد نجمة كومونديت واحد لكولي وبقيت مدة كنتسنا فيها في اللخر ملي وصل نهار توصيل لقيتها تلغات...... تطبيق مستفز😡,1,negatif,2025-07-11 10:08:39,Marjane Mall
Abdelilah Laamim,تحت التجربة,5,positif,2025-07-10 23:52:25,Marjane Mall
سارة بيضار,شكرا افضل تطبيق,5,positif,2025-07-09 14:35:38,Marjane Mall
YOUSSEF BILAMANIYA,تطبيق ممتاز جدا,5,positif,2025-07-08 20:46:10,Marjane Mall
Polo Paralo,تطبيق فاشل كومونديت عصارة او ستخدمت كور كوبون 50 درهم او موصلاتنيش في حين درت كوموند نفس العصارة بدون كوبون او وصلات تطبيق إستغلال,1,negatif,2025-07-08 19:34:29,Marjane Mall
Rachid Wine,تطبيق فاشال مرجان كادب كثير الاشاعات عجلات الحض ربح منها 30dh لايوجد ربح اكثر كما يقال1000dh او 500 dh او 200dh حتى ان ربحت 30dh لاتتوصل بها عبرا شراء منتحج 30dh لم يصال اي شيء تبا لكم مرجان فاشل جيييييييدا,1,negatif,2025-07-08 16:14:40,Marjane Mall
Hayah Abdellah,لافاءدة انه مخادع وكثير الكلام 00000000000,1,negatif,2025-07-08 11:25:04,Marjane Mall
oussef ahmou,عرض رائع جدا,5,positif,2025-07-08 02:23:05,Marjane Mall
wilde_x,نريد المانجا في مرجان باللغة الإنجليزية,3,neutre,2025-07-03 17:53:57,Marjane Mall
Hamza eljjammal,فاشلون,1,negatif,2025-07-01 19:23:04,Marjane Mall
Marwa Ishak,تم مسح تطبيق فاشل لا توجد لغه عربيه,1,negatif,2025-07-01 15:31:13,Marjane Mall
Ouhsain 8855,تطبيق خرافي,5,positif,2025-06-30 23:03:28,Marjane Mall
Mohamed Maadadi,المرجو إضافة اللغة العربية إلى التطبيق,3,neutre,2025-06-29 18:34:43,Marjane Mall
anifi fadma,سيء جدا جدا لا يستحق ولو نجمة واحدة,1,negatif,2025-06-29 17:07:38,Marjane Mall
fifi cici,إذا كان موثوق وموجه الى السوق المغربية فأين اللغة التي يتكلم بها هذا المغربي,1,negatif,2025-06-29 01:18:38,Marjane Mall
Ana Kibach,من الغريب جدا ان يكون التطبيق بالفرنسية وهو يتعامل في بلد عربي مع ان جميع التطبيقات يتوفر فيهم اللغة العربية,3,neutre,2025-06-27 21:22:38,Marjane Mall
Merve Mer,تقيل بزاف وحتى صور منتجات مبقاش يبانو,1,negatif,2025-06-25 14:32:41,Marjane Mall
Asmae Elmahdaoui,تطبيق جيد لكن ما يثير استغرابي هو تطبيقات اجنيبة مثل تيمو التوصيل مجاني لكن هذا تطبيق مغربي ويتم احتساب ثمن التوصيل مثلا انا كان ثمن التوصيل 18 درهم لكن التوصيل سريع ماكايتعطلوش,5,positif,2025-06-14 18:53:16,Marjane Mall
Badri Hicham,مرجان مول التقة والمزداقية,5,positif,2025-06-14 16:21:31,Marjane Mall
ridwan / عالم الترفيه,مع الأسف التطبيقات الأجنبية بيها اللغة العربية وتطبيق مرجان فيه اللغة الفرنسية واحنا في بلد عربي اضيفو اللغة العربية الله يهديكم,4,positif,2025-06-13 13:01:17,Marjane Mall
Hamza Amane allah,جميل جدا هذغ التطبيق,5,positif,2025-06-12 22:16:14,Marjane Mall
Mohamed Rochdi,تطبيق يعمل بي شكل جيد 😍,5,positif,2025-06-07 20:24:19,Marjane Mall
Moaud Moaud,ليس لديه وصف لأنه اكثر من رائع 😍🫡,5,positif,2025-06-05 15:12:19,Marjane Mall
Mehdi Zhiri,مع الأسف لاتوجد اللغة العربية في وقت تطبيقات اجنبية بها العربية,4,positif,2025-06-05 06:57:55,Marjane Mall
Aïcha,التطبيق رائع جدا وكل شيء رائع,5,positif,2025-06-03 10:09:27,Marjane Mall
Mounir Ho,ممتاز,5,positif,2025-06-02 07:21:59,Marjane Mall
Elharouni El hassan,تطبيق رائع لكن الغريب أن يكون تطبيق تيميو وعلي اكسبريس باللغة العربية ولا يكون تطبيق مرجان بذلك.. وهو يتعامل مع شريحة كبيرة تفعم العربية,5,positif,2025-05-31 12:51:16,Marjane Mall
Tajar Yousaf,أحسن متجار,5,positif,2025-05-30 00:22:18,Marjane Mall
Osaam Rar,جميل,4,positif,2025-05-28 06:57:56,Marjane Mall
المعلم مصطفى,مافيهش الغة العربية,5,positif,2025-05-27 16:21:35,Marjane Mall
Hamza Hsaini,رائع وجميل,5,positif,2025-05-25 12:23:26,Marjane Mall
Mo Mahmoud,التطبيق رائع ولاكن ينقصه العربية,4,positif,2025-05-25 06:10:27,Marjane Mall
Walid Aitbelhaj,جميل جدا هادا التطبيق رائع,5,positif,2025-05-24 18:54:58,Marjane Mall
Musa Couco,عملية سهلة,5,positif,2025-05-22 16:12:40,Marjane Mall
Ennaji Abdeslam,جميل جدا,5,positif,2025-05-19 19:00:11,Marjane Mall
Mari Issa,توصلت بمنتوج مدة صلاحية منتهية فوق ذلك مصاريف شحن تطبيق غير جميل,1,negatif,2025-05-15 23:06:36,Marjane Mall
MR ABDE MARZ,تطبيق فاشل وشفار قفزت اسعار شحن من 15 درهم الى 25 درهم هذا إستغلال 🫸🫸🫸🫸🫸,1,negatif,2025-05-13 22:34:13,Marjane Mall
Aymen Bn,انه جيد,5,positif,2025-05-12 18:57:31,Marjane Mall
Blhmam Moktar,برنامج جميل ،لكن الواقع في مرچان لايتساوى مع المواقع.نريد الصراحة في الاثمان.,5,positif,2025-05-10 10:12:11,Marjane Mall
Nassif Ouboutayeb,شي جدا منتاجة لا تعمل,1,negatif,2025-05-09 01:51:04,Marjane Mall
Mustapha Akhraz,جميل جيدا,4,positif,2025-05-07 21:14:47,Marjane Mall
أم أيمن,المرجو اضافه اللغه العربيه,4,positif,2025-05-07 18:32:17,Marjane Mall
Hamadi saidi,الكوبونات لا تعمل,3,neutre,2025-05-07 13:46:49,Marjane Mall
Taha,كل شيئ فيه كذب سرقولي أشياء بقيمة 2000DH وملي تواصلت معاهم قالولي عندنا منديرولك سير دعينا,1,negatif,2025-05-05 11:26:12,Marjane Mall
Abdo Cvbbc,احسن مرجان,5,positif,2025-04-30 01:49:06,Marjane Mall
Lhussuin Bohmad,يجب تحديد اللغه العربيه ليكون تطبيق جد فعاله,5,positif,2025-04-29 16:46:57,Marjane Mall
Mourad Laakel,كائنة الهواتة,5,positif,2025-04-23 20:26:38,Marjane Mall
free fair mohamed,الله حتى نصبوا عليا,1,negatif,2025-04-21 12:18:36,Marjane Mall
imad ghallab,أنتم علامة تجارية مغربية .. لماذا لغة التطبيق بالفرنسية أنتم تتعاملون مع دولة لها لغتين رسميتين كما جاء في الدستور اللغة العربية واللغة الأمازيغية,1,negatif,2025-04-20 20:25:51,Marjane Mall
MOHAMMED LAGHNANE,متجر يستهدف الفئة الفرنسية فقط التطبيق لا يدعم العربية و ⵜⵎⴰⵣⵢⵖⵜ,1,negatif,2025-04-13 19:55:03,Marjane Mall
abdojalil safwan,تطبيق ممتاز شكرا,5,positif,2025-04-11 17:28:21,Marjane Mall
jamal elhanine,تحت التجربة عندما اتوصل بأغرادي نضع 5 نجوم,2,negatif,2025-04-10 23:22:22,Marjane Mall
Mohamed Elazizi,تطبيق جيد جدا,5,positif,2025-04-10 15:25:12,Marjane Mall
Lkhedar Nora,جيد جدا,5,positif,2025-04-10 13:11:07,Marjane Mall
Yahya 3arkobi,متجر جميل جدا,5,positif,2025-04-08 15:32:32,Marjane Mall
Hed Khalid,الثقة والامان,5,positif,2025-04-01 02:34:48,Marjane Mall
Omar Kassi,أحسن تطبيق,5,positif,2025-03-26 11:45:02,Marjane Mall
Lubna Lir,تطبيق جد رائع,5,positif,2025-03-25 22:33:32,Marjane Mall
Lahmidi Lahmidi,رإع,5,positif,2025-03-25 03:02:29,Marjane Mall
Fatima Bennini,تطبيق جميل لكن المشكلة الوحيدة انه فرنسي يوجد اشخاص لا يجدون الفرنسية ومنهم انا ممكن تغيير اللغة الى العربية,4,positif,2025-03-23 11:57:58,Marjane Mall
خالد حكماوي,تطبيق فرنسي بما أنه لا يوفر اللغة العربية (أساسا وليس اختيارا) وهو بذلك يخدم الفرنسيين والإستعمار ولا يخدم المغاربة والمغرب حيث يوجد.,1,negatif,2025-03-15 14:16:44,Marjane Mall
Nawal Koumich,المصداقيه,5,positif,2025-03-15 13:15:46,Marjane Mall
Rachid Rachid,كيكتبو حاجة او تتوصلك حاجة صاحرة كدابة او ميستهلوش حتى هاد نجمة,1,negatif,2025-03-14 17:23:46,Marjane Mall
Younes Vlog,تطبيق رائع,5,positif,2025-03-11 02:14:01,Marjane Mall
Salma Taouil,اسوء تطبيق شفته في حياتي لا انصحكم بتنزيله لانكم رح تندمو كثير كثير,1,negatif,2025-03-10 18:21:45,Marjane Mall
Mm M M,التطبيق جيد لاكن لا يستهدف عامت المغاربة لعدم توفره على اللغة العربية أرجو من المطورين إضافة العربية إلى التطبيق ليكون لعامة الشعب,1,negatif,2025-03-06 13:54:24,Marjane Mall
Pram Hadji,اول مرة اتعامل ليس لم اعرف كيف المعاملة,5,positif,2025-03-03 01:05:06,Marjane Mall
Ikram Danyal,التطبيق سيء لي انه ليس فيه اللغة العربية وهاد أمر سيء فا نحن عربيون و تطبيق ليس فيه لغتنا كأنه صونع من أجل الأجانب,1,negatif,2025-02-27 06:25:35,Marjane Mall
Aboubakre Mhdaoui,فاشل لم أتوصل بي الطلبية لمدة ٣ أسابع,5,positif,2025-02-25 21:47:40,Marjane Mall
Nizar Med,تطبيق جميل,5,positif,2025-02-24 20:51:38,Marjane Mall
Saadiya Ahssi,تطبيق خايب الأثمنة عندهم طالعة كتر من القياس,1,negatif,2025-02-23 16:25:38,Marjane Mall
abdo dfsk,تجربة رائعة,5,positif,2025-02-23 15:38:03,Marjane Mall
ayoub doublali,مكنصحشكومش تشريو من عندهوم انا نصبو علياشركة النصب والاحتيال,1,negatif,2025-02-21 11:34:51,Marjane Mall
Amine Saâdi,رئع,5,positif,2025-02-21 06:34:29,Marjane Mall
Ayoub id mhend,تبا هدا التطبيق فاشل جدا لن تجد ما تبحت عنه,1,negatif,2025-02-20 23:30:47,Marjane Mall
Otman Adawi,شكرا اعمال مرجان,5,positif,2025-02-20 19:52:27,Marjane Mall
Dld Ebx,تطبيق جيد استمتعت بالتجربة شكرا,5,positif,2025-02-20 17:15:53,Marjane Mall
Azeddine Jebbar,متميز,5,positif,2025-02-19 15:32:56,Marjane Mall
Khadija Maroc,مشاء الله,5,positif,2025-02-19 15:27:15,Marjane Mall
brahim Riad,اول مرة غجربو,5,positif,2025-02-06 20:48:06,Marjane Mall
Houssin,تكون فيا د لون نمر 44,5,positif,2025-02-06 18:33:52,Marjane Mall
Ezzaki Med,شكرا لكم جنود الخفاء الطاقم العامل على راحت الزبناء marjanemall,5,positif,2025-02-02 11:59:53,Marjane Mall
Chlaih Hamza,لا يريد مطابقت الحساب,1,negatif,2025-01-31 15:55:49,Marjane Mall
Soufiane,تنقصه اللغة العربية اعتقد أنني سأكتفي بتطبيق جوميا,2,negatif,2024-12-29 19:17:22,Marjane Mall
Hassan Mezgheldi,غير نصابة تقييم 0 والله خوتي غير مخروظين,1,negatif,2024-12-20 08:39:17,Marjane Mall
ابو جنان,شكران,5,positif,2024-12-17 12:51:06,Marjane Mall
Idriss Elfarghessaoui,تطبيق رائع، تسليم سريع,5,positif,2024-12-13 13:29:23,Marjane Mall
Nabil Syan,كان سيكون افضل باللغة العربية,3,neutre,2024-12-07 00:01:27,Marjane Mall
atika elmakki,تطبيق ممتاز,5,positif,2024-12-05 18:26:51,Marjane Mall
Hafid Elmoch,المرجو اضافة اللغة العربية,4,positif,2024-12-05 09:37:15,Marjane Mall
Souma Nassiri,تطبيق جميل لكن ينقصه اللغه العربيه المرجو ادماجها وشكرا,2,negatif,2024-11-28 11:16:20,Marjane Mall
Jhjhi,لا يدعم اللغة العربية,1,negatif,2024-11-17 19:13:25,Marjane Mall
hassan dada,تطبيق ممتاز لكن تنقصه اللغة العربية,4,positif,2024-11-16 06:52:44,Marjane Mall
tiktok,محاولة فاشلة,1,negatif,2024-11-14 12:45:03,Marjane Mall
Youness Youness,للأسف لم نتمكن من استعمال التطبيق لأنه لا يتوفر على لغتنا. ربما هو موجه للشعب الفرنسي لذلك تم إعداده باللغة الفرنسية فقط. تطبيقات أجنبية أصبحت تحترمنا وتضيف اللغة العربية وتطبيقاتنا المحلية تتواصل معنا بغير لغتنا. تم إلغاء تثبيت التطبيق 👍,1,negatif,2024-11-10 19:38:32,Marjane Mall
Yøus sef,تجربة سيئة,1,negatif,2024-11-01 18:35:27,Marjane Mall
Reda Akdach,التطبيق موجه للفرنسيين و ليس للمغاربة اين اللغة العربية,1,negatif,2024-10-30 09:28:20,Marjane Mall
Youssef Raji,تطبيق جيد ،لكن ينقصه العربية ليصبح احسن تطبيق للتسوق,4,positif,2024-10-29 21:16:49,Marjane Mall
فوركس فوريفر,ديرو العربية السلعة دفرانسا,1,negatif,2024-10-21 21:44:37,Marjane Mall
Aabida Jidar,2024 ومازال عيشين التيه اللغوي، او مازال الاستعمار اللغوي.,1,negatif,2024-10-20 13:06:18,Marjane Mall
Fatn Edrissi,شكرا على Marjanemall,5,positif,2024-10-14 18:46:54,Marjane Mall
المصلح,طريقة سلسة,3,neutre,2024-10-09 02:58:01,Marjane Mall
Haron Nisrin,موقع سيء عامر بالنصابة سلع رادئة,1,negatif,2024-10-08 23:10:19,Marjane Mall
مستخدم Google,تجربة سيئة لديكم المزيد من العمل للقيام به,1,negatif,2024-10-06 17:48:38,Marjane Mall
Ismail Maada,لماذا لا توجد اللغه العربيه,1,negatif,2024-10-05 19:17:40,Marjane Mall
كيف تصنع,تطبيق فقير لا يتوفر على اللغة العربية التي يتحدث بها عامة الشعب,1,negatif,2024-10-03 17:38:54,Marjane Mall
الحافظ,لم منه لكي أعرفه جيدا,5,positif,2024-10-03 13:46:33,Marjane Mall
Simo Dib,ملابس غالية كتيرا لي مادا لا تفعلو مت الصين كل شيء رخيص,2,negatif,2024-09-29 18:35:09,Marjane Mall
Mohamad Abrkan,مرجن,5,positif,2024-09-28 15:51:39,Marjane Mall
عبدو عتيق,اللغة العربية مهمة,1,negatif,2024-09-28 11:15:36,Marjane Mall
Rahil Faquihi,قبلاةىبت,5,positif,2024-09-26 18:16:54,Marjane Mall
meriem zaroial,تطبيق جيد ولكن عدم توفر اللغة العربية وهيا لغتنا الام وليست الفرنسية,1,negatif,2024-09-26 13:07:57,Marjane Mall
الحاج هرون الفيلالي اهل السيد,مرحبا,5,positif,2024-09-25 07:11:14,Marjane Mall
Aarousi Rim,رائع والله شكراً,5,positif,2024-09-23 09:38:47,Marjane Mall
jamal hamdaoua,سيئ جدا,1,negatif,2024-09-14 16:54:33,Marjane Mall
Mouhamed Karim,تجربة متميزة جدآ,5,positif,2024-09-11 23:42:47,Marjane Mall
