Token,Type
يوسع,positive
النتائج,neutre
البطولة,neutre
اليوم,neutre
كلها,neutre
مزيانة,positive
للطاس,neutre
واعرة,positive
هادي,neutre
ليهم,neutre
لا,neutre
حول,neutre
قوة,neutre
الا,neutre
للبلاد,neutre
يخليهم,neutre
كاينة,neutre
غير,neutre
البداية,neutre
استمر,neutre
تربح,positive
الحسنية,neutre
سواسة,neutre
يعمرها,neutre
دار,neutre
بالعكس,neutre
صادقة,neutre
سيري,neutre
قد,neutre
جهدك,neutre
تلقائي,neutre
تاع,neutre
الناس,neutre
نفس,neutre
الدخل,neutre
عايشين,neutre
به,neutre
مسألة,neutre
حسن,positive
تدبير,neutre
تبذير,neutre
ها,neutre
المعقول,positive
يخليه,neutre
يصلحه,neutre
الأجر,neutre
الحسنة,neutre
فهمتك,neutre
نزيدك,neutre
معلومة,neutre
نبسطو,positive
شويا,neutre
ضاحك,positive
فاش,neutre
تنسمعها,neutre
احس,neutre
بفخر,positive
كبير,neutre
بانني,neutre
انتمي,neutre
لهدا,neutre
الوطن,neutre
كتزيد,neutre
تحس,neutre
بحجم,neutre
المسؤولية,neutre
اللي,neutre
عندو,neutre
وليدات,neutre
يصلحهم,positive
له,neutre
أجمل,positive
اللحظات,neutre
عندي,neutre
هو,neutre
نشوف,neutre
التلاميذ,neutre
خارجين,neutre
المدرسة,neutre
فرحانين,positive
للوداد,neutre
الوداديين,neutre
قريبة,neutre
آمين,positive
تبارك,positive
علينا,neutre
شكرا,neutre
عنده,neutre
أمه,neutre
يخليها,positive
ليه,neutre
ماتت,neutre
يرحمها,positive
وايلي,neutre
التعليم,neutre
فالمغرب,neutre
يحتدى,neutre
كلامك,neutre
الاحترام,positive
الزمان,neutre
الخوف,negative
شحال,neutre
قلتي,neutre
حيث,neutre
كنتفائلو,positive
بلا,neutre
سوء,negative
يجازيكم,neutre
فالواقع,neutre
كتعكس,neutre
المستوى,neutre
الحقيقي,neutre
للكرة,neutre
الأفريقية,neutre
هي,neutre
الشأن,neutre
يتلج,neutre
اننا,neutre
الاحسن,positive
افريقيا,neutre
هاديك,neutre
الكعبي,neutre
عاطياه,neutre
الكورة,neutre
يمشي,neutre
بعيد,neutre
المكان,neutre
تيعجبني,positive
الصراحة,neutre
ماشي,neutre
عيب,negative
خاصك,neutre
تنشري,neutre
هادشي,neutre
راه,neutre
شيق,positive
كلشي,neutre
فحالك,neutre
لكن,neutre
بعد,neutre
العسر,negative
يسرا,positive
عزيز,positive
الضحك,positive
السيد,neutre
كيجيني,neutre
احسن,positive
مغربي,neutre
كيتكلم,neutre
الإرادة,neutre
العزيمة,positive
القدم,neutre
احيانا,neutre
تكون,neutre
فعالة,neutre
التقنيات,neutre
المهارة,positive
روسيا,neutre
الحكم,neutre
ولا,neutre
راجل,neutre
مزيان,positive
مجهدة,positive
تصلاح,neutre
واقع,neutre
التطبيق,neutre
تستاهل,positive
ويرجع,neutre
بالسلامة,positive
ومايطول,neutre
غيابه,neutre
تستاهلي,positive
يستاهل,positive
شكون,neutre
يصيفطها,neutre
يعطيك,neutre
الصحة,positive
ونعم,positive
الرجل,neutre
رضا,neutre
سير,neutre
والله,neutre
فرحتيني,positive
ياك,neutre
لاباس,positive
عليكم,neutre
بتوفيق,positive
العزيز,positive
راكم,neutre
فالبال,neutre
ترحب,positive
بيك,neutre
جنة,positive
غ,neutre
ضربت,neutre
طليلة,neutre
توحشتكم,positive
اش,neutre
خباركم,neutre
اللهم,positive
اميين,positive
جزاك,positive
اخوي,neutre
يكمل,neutre
بالخير,positive
الحمدالله,positive
ياربي,neutre
علي,neutre
يفرحك,positive
كتحطني,neutre
امام,neutre
امر,neutre
الواقع,neutre
مرحبا,positive
بيكم,neutre
نعام,neutre
سيدي,positive
يكثر,neutre
امثالك,neutre
امان,neutre
اختي,neutre
متنساينيش,neutre
دعوات,positive
محتاجة,neutre
يفرج,positive
همكم,negative
حنا,neutre
نستاهلو,positive
الدار,neutre
الكبيرة,neutre
مستحيل,neutre
تقلق,negative
معزتكم,positive
كبيرة,neutre
ويسعدك,positive
انت,neutre
شخص,neutre
كثير,neutre
وانت,neutre
كتفرحوني,positive
بكلامكم,neutre
عيد,positive
ميلاد,neutre
سعيد,positive
عام,neutre
وانتي,neutre
بألف,neutre
وصحة,positive
وسلامة,positive
يشافيك,positive
مايكون,neutre
ويغفر,positive
لها,neutre
يتقبل,positive
اجرك,positive
يشافيها,positive
ويعافيها,positive
اسيدي,positive
مسامحينك,positive
ضحكتني,positive
بصحتك,positive
اوا,positive
الحمد,positive
لله,positive
علاش,neutre
تركيا,neutre
مزدهرة,positive
اكثر,neutre
خيركم,positive
ازين,positive
الصنعة,neutre
تفكروا,neutre
ناس,neutre
فحياتكم,neutre
لو,neutre
برحمة,positive
مافيها,neutre
كوليها,neutre
يدعي,neutre
معاه,neutre
دريويش,neutre
موجود,neutre
أنت,neutre
كيف,neutre
الحال,neutre
ضاحكين,positive
رأيي,neutre
مبادرة,positive
أنا,neutre
وياك,neutre
ظرافات,positive
ولد,neutre
شاهد,neutre
ينجيك,positive
يبارك,positive
فيك,neutre
عمر,neutre
جزيلا,positive
يرحب,positive
لعزيز,positive
اللقاء,neutre
دوزوا,neutre
مائة,neutre
المائة,neutre
اخي,neutre
الطموح,neutre
تخليش,neutre
فرحتك,positive
باللي,neutre
حققتي,neutre
تنسيك,neutre
واجباتك,neutre
غدا,neutre
إن,neutre
كان,neutre
مازال,neutre
بصح,neutre
نيت,neutre
يستاهلو,positive
ليا,neutre
محمد,neutre
آلعزيز,positive
تفكرتينا,neutre
يسعد,positive
مساكم,neutre
هذا,neutre
لكلام,neutre
الواجب,neutre
درناه,neutre
خليك,neutre
معانا,neutre
وجه,neutre
آوجه,neutre
شرح,neutre
معقول,positive
منطقي,positive
راك,neutre
فرحان,positive
يخلف,neutre
العفو,positive
قلتش,neutre
العكس,neutre
متافقين,positive
اكمل,neutre
يفرحكم,positive
يصلح,positive
الوليدات,neutre
تحققي,positive
متمنيتي,neutre
يعزك,positive
يوفقك,positive
خاي,neutre
ياسر,neutre
الامتنان,positive
اعز,positive
صديقة,neutre
فهاد,neutre
الفضاء,neutre
صريحة,positive
وواضحة,neutre
انها,neutre
الشخص,neutre
المناسب,positive
اكون,neutre
شوية,neutre
داللعب,positive
المتعة,positive
تما,neutre
احفظك,positive
متفق,positive
غا,neutre
يجازيك,positive
امامنا,neutre
كنت,neutre
محتاج,neutre
الدفيعة,neutre
مقتنع,positive
بهاد,neutre
الفكرة,neutre
اروع,positive
بزيرو,neutre
درهم,neutre
الصح,neutre
اعزك,positive
المساعدة,positive
الفياق,neutre
بكري,neutre
جيد,positive
واخا,neutre
نضحكو,positive
نشطو,positive
المهم,neutre
غنمشي,neutre
نشوفو,neutre
وقت,neutre
أخي,neutre
وجهة,neutre
نظر,neutre
تحترم,positive
كنقلب,neutre
واحد,neutre
تعطيني,neutre
تعريف,neutre
حقيقي,neutre
ملموس,neutre
لهاد,neutre
مصطلح,neutre
وطن,neutre
سلامتك,positive
الدنيا,neutre
مراحل,neutre
فصول,neutre
يرحمو,positive
فكرتيني,neutre
يفكرك,neutre
فالشهادة,positive
نسيت,neutre
درك,neutre
العشا,neutre
سامو,neutre
نجحوا,positive
فحياتهم,neutre
مشاو,neutre
بسرعة,neutre
الموزون,neutre
ماشاء,positive
معلوم,neutre
هانية,neutre
الى,neutre
خسرتيها,negative
عزاز,positive
رجاء,neutre
الفوز,positive
ديالكم,neutre
دون,neutre
شك,neutre
تواضع,neutre
منك,neutre
كنضحك,positive
احتراماتي,positive
لبحال,neutre
الرجالة,neutre
الكبار,neutre
يعافي,neutre
يرضى,positive
يهدي,positive
الجميع,neutre
أهلا,positive
وا,neutre
فين,neutre
غبورك,neutre
يخفف,positive
نزل,neutre
يلطف,positive
الواحد,neutre
يسافر,neutre
يتبرع,positive
يبدل,neutre
الجو,neutre
يصبركم,positive
صباحكم,neutre
سعاد,neutre
الحق,neutre
عالله,neutre
ولدي,neutre
الحاج,neutre
يحفظ,positive
وليداتك,neutre
خلق,neutre
يقبل,neutre
الحضارة,neutre
بالصح,neutre
يهديه,positive
بناتي,neutre
كيحماقو,positive
عليهم,neutre
أعلم,neutre
النور,positive
العزاز,positive
مشاغلك,neutre
واعرين,positive
حال,neutre
يحفظه,positive
نعس,neutre
ولكن,neutre
فرحة,positive
مان,neutre
يونايتد,neutre
جعلتيني,neutre
اشغر,neutre
بنوم,neutre
ريتم,neutre
الوداد,neutre
مرتفع,neutre
ختي,neutre
اسف,positive
تصبحون,neutre
واقسم,neutre
اني,neutre
لن,neutre
كلمة,neutre
الان,neutre
كورة,neutre
ساهلة,neutre
تعالى,neutre
ياحبيبي,positive
ياجميل,positive
صبر,positive
راها,neutre
المفاجأة,positive
بشفاء,positive
العاجل,neutre
شاءالله,positive
رجل,neutre
حمدلله,positive
عالسلامة,positive
اختاه,neutre
الليحفطك,neutre
شر,negative
الخلق,neutre
بحكم,neutre
المعرفة,neutre
يمكن,neutre
تشد,neutre
القران,neutre
الكريم,neutre
وتقرا,neutre
وها,neutre
وعافية,positive
تقترب,neutre
اصحاب,neutre
النفوس,neutre
ضعيفة,neutre
بعكس,neutre
اكن,neutre
والتقدير,positive
لشخصك,neutre
يحفظها,positive
ليكم,neutre
اخاي,neutre
حمزة,neutre
كنحب,positive
الانسانية,positive
احب,positive
سلام,positive
تشوف,neutre
كاملة,neutre
اعلم,neutre
الدي,neutre
امامك,neutre
انسان,neutre
ناجح,positive
نابغة,positive
اول,neutre
مرة,neutre
اتفق,positive
معك,neutre
اشرف,neutre
احبك,positive
فالله,positive
طبيعية,neutre
ابتسامة,positive
عريضة,neutre
طريقة,neutre
طاح,neutre
مضحكة,positive
للغاية,neutre
حكم,neutre
ياسلام,positive
الفقراء,neutre
يحبك,positive
ابنتي,neutre
العزيزة,positive
السوس,neutre
طيبين,positive
باقي,neutre
قادر,neutre
نضحك,positive
بوطيب,neutre
لاعب,neutre
ابنت,neutre
عمي,neutre
بدوام,neutre
والعافية,positive
وكل,neutre
بالف,neutre
سترنا,neutre
وياه,neutre
بشدة,neutre
بصحتكم,positive
زينة,positive
بعقلها,positive
حدراف,neutre
معروف,neutre
بي,neutre
اخلاق,neutre
ديالو,neutre
دكشي,neutre
فخر,positive
غادية,neutre
تحسن,positive
بدا,neutre
يتجمع,neutre
أثر,neutre
الجرح,negative
فقط,neutre
نتمنى,neutre
ميبقاش,neutre
اثر,neutre
الحرق,neutre
الأخير,neutre
بصراحة,neutre
قال,neutre
جميل,positive
نشريه,neutre
لباس,neutre
كنعرفك,neutre
ومتشرف,positive
بمعرفتك,neutre
خدم,neutre
البلاد,neutre
بالزاف,neutre
خاصو,neutre
يستمر,neutre
فهذا,neutre
اه,neutre
اوك,neutre
متشرفين,positive
كنفرح,positive
لفرحتكم,positive
كتهضر,neutre
بحال,neutre
المغاربة,neutre
يعز,positive
الحكام,neutre
لالة,positive
بيخير,positive
دابا,neutre
يجعل,neutre
السلامة,positive
كلامي,neutre
نقول,neutre
ويوسع,neutre
بارعة,positive
أجوبة,neutre
قيمة,positive
استفدت,positive
كثيرا,neutre
مغسي,positive
هذيك,neutre
كتبقى,neutre
كرة,neutre
قدم,neutre
مخصش,neutre
تفرقنا,negative
وتخلينا,neutre
مضاربين,negative
لما,neutre
نجي,neutre
نزوركم,neutre
اشياء,neutre
هذه,neutre
البنت,neutre
عجيبة,neutre
رباك,neutre
وعلمك,neutre
معلومات,neutre
انتظار,neutre
أسئلة,neutre
أخرى,neutre
عرفت,neutre
قلبك,positive
رائعة,positive
أحسنتي,neutre
اعطيك,neutre
فكرتينا,neutre
تلك,neutre
الحياة,neutre
الجميلة,positive
البسيطة,neutre
الجولات,neutre
ب,neutre
جبال,neutre
الاطلس,neutre
قل,neutre
للمغاربة,neutre
مضخم,neutre
الصحه,neutre
المضمون,neutre
اللہ̣̥,positive
راسي,neutre
وعيني,neutre
أي,neutre
خسارة,negative
بالصحة,positive
أختي,neutre
يكبر,neutre
ياولدي,neutre
تشفيها,positive
أفضل,positive
بكثير,neutre
فالعون,neutre
ساعة,neutre
طيرتيني,neutre
بضحك,positive
وتدوم,neutre
ضحكتك,positive
دفيعة,neutre
المرآة,neutre
المكافحة,positive
الكادحة,negative
المقاتلة,positive
تترزق,neutre
بكتافها,neutre
تفاني,neutre
لتحضر,neutre
قوت,neutre
الحلال,positive
رائع,positive
يفرح,positive
ترفع,neutre
القبعة,neutre
مضحك,positive
احم,neutre
ابصحتك,positive
الحميقة,neutre
ديالي,neutre
ايلا,neutre
توحشتك,positive
نشوفك,neutre
بهادي,neutre
الغالية,positive
اهلا,positive
سعيدة,positive
عندوا,neutre
اختو,neutre
تتهلا,positive
ينورك,positive
لبا,neutre
بنوتة,neutre
الصغيرة,neutre
رآسي,neutre
ورموش,neutre
عيني,neutre
لالا,neutre
عفاك,neutre
ماتبكيش,neutre
دموعك,negative
غاليين,positive
الايام,neutre
دغيا,neutre
دازت,neutre
وتقاد,neutre
يخليكم,neutre
البعضكم,neutre
وراحتك,neutre
الغالي,positive
يرخاص,neutre
واللي,neutre
مشرف,positive
آكثر,neutre
الجمهور,neutre
المغربي,neutre
مزقوا,neutre
عالم,neutre
الكيان,neutre
الصهيوني,negative
عندما,neutre
رفعه,neutre
آحد,neutre
الصهاينة,negative
الكفار,negative
رغم,neutre
الخسارة,negative
نالوا,neutre
احترام,positive
العالم,neutre
بلد,neutre
الرجال,neutre
المحاربين,positive
الكادحين,negative
المقاتلين,positive
آقلهم,neutre
حضا,neutre
الشعب,neutre
باكمله,neutre
رجال,neutre
نساء,neutre
التابعة,neutre
للآسود,neutre
نموت,neutre
القطوط,neutre
وحتى,neutre
آنت,neutre
يرزقك,positive
بولد,neutre
يصونك,positive
يحطك,neutre
تاج,positive
فوق,neutre
راسوا,neutre
ويحلف,neutre
البنات,neutre
نفرح,positive
براسي,neutre
وعاطيها,neutre
توصف,neutre
الزواج,neutre
كنتمناو,neutre
ينجح,positive
لينا,neutre
الانسانة,neutre
تستاحق,positive
زوجة,neutre
سومية,neutre
انشاء,neutre
طويلة,neutre
غنتلاقاو,neutre
عصفورتي,neutre
لكم,neutre
ويحميها,positive
وتتربى,neutre
فى,neutre
عزكم,positive
يلاقيني,neutre
ببنت,neutre
الآصل,positive
مكتبها,neutre
وشكون,neutre
فبالك,neutre
بغيتي,neutre
تفرحيني,positive
بيها,neutre
هاذ,neutre
الصباح,neutre
ناشط,positive
يغلبك,neutre
ويخليك,neutre
ل,neutre
ماماك,neutre
يطول,neutre
عمرها,neutre
ويحفضها,positive
آتكوني,neutre
كتشبهي,neutre
ليها,neutre
فكلشي,neutre
مين,neutre
الغصين,neutre
ديك,neutre
الشجيرة,neutre
منقدرش,neutre
نجلس,neutre
ونشوفيك,neutre
مقاتلة,neutre
وحدك,neutre
لاء,neutre
ميمكنش,neutre
نجلسو,neutre
بزوج,neutre
نتعاونو,neutre
نتعاونوا,neutre
المساوات,positive
فحال,neutre
الراجل,neutre
نعاونك,neutre
يدوم,neutre
المحبة,positive
القلوب,positive
الصادقة,positive
الصافية,positive
الوفية,positive
عاش,neutre
مول,neutre
خانه,neutre
مكتابة,neutre
وفيها,neutre
يجيبها,neutre
عزيزة,positive
وغالية,positive
والكبيدة,positive
نكساب,neutre
ضراتك,negative
ضراتني,negative
آلالة,positive
الحادكة,positive
دائما,neutre
مكتخليلي,neutre
منقول,neutre
آتعلمي,neutre
ونتعلم,neutre
بارك,positive
شاف,neutre
غنصايبها,neutre
تشوفي,neutre
خاطرك,neutre
لم,neutre
آجد,neutre
آقول,neutre
يحفضك,positive
ويسترك,positive
الفوق,neutre
آغلى,positive
انسانة,neutre
الوالديك,neutre
رباوك,neutre
عمرهم,neutre
ويشوفوك,neutre
تمناو,neutre
لهلا,positive
يحشمنا,negative
يلاقينا,neutre
ماحسن,positive
منا,neutre
كنشكر,positive
القدر,neutre
لقاني,neutre
بآطيب,positive
بروح,neutre
طيبة,positive
والنية,positive
والقلب,positive
الآنيق,positive
والآخلاق,positive
العالية,positive
مولداتهاش,neutre
الواليدة,neutre
إذا,neutre
احتاجيتي,neutre
مساعدة,neutre
آي,neutre
فآي,neutre
مالقيت,neutre
متشكرينيش,neutre
معملت,neutre
والوا,neutre
امممم,neutre
باين,neutre
لذيذ,positive
وخلاص,neutre
كتقاتلوا,positive
تمارة,negative
يعطينا,neutre
شوي,neutre
منكم,neutre
التحيات,positive
يرجعوا,neutre
بسلامة,positive
وتشوفوه,neutre
تمنيتوا,neutre
عمايل,neutre
ايذيك,neutre
الرضى,positive
وتشوفك,neutre
تمنات,neutre
وآلف,neutre
ومالين,neutre
تستاهلوا,positive
آحلى,positive
الناضور,neutre
كلنا,neutre
إخوة,neutre
بصحة,positive
فطوركم,neutre
يفرجها,positive
مسلم,neutre
فيها,neutre
ذلك,neutre
خلينا,neutre
نقولو,neutre
مبرووك,positive
يجي,neutre
غنفرحوا,positive
تتحسن,positive
الاوضاع,neutre
خمم,neutre
قبل,neutre
تحط,neutre
رجلك,neutre
تغوص,neutre
رانج,neutre
روڤر,neutre
يحد,positive
الباس,negative
يروح,neutre
للقهوة,neutre
يتفرج,neutre
مرتاح,positive
فدارو,neutre
لنا,neutre
عودة,neutre
يستحق,positive
يفوز,positive
نهنؤه,positive
يؤثر,neutre
بطريقة,neutre
بأخرى,neutre
مردود,neutre
يعوضو,neutre
الاياب,neutre
راحة,positive
البال,neutre
فعلا,neutre
الضيف,neutre
مقدسة,positive
منطقة,neutre
تستحق,positive
الزيارة,neutre
فصل,neutre
الربيع,neutre
سبق,neutre
زرتها,neutre
ناسها,neutre
الطف,positive
ضربوا,neutre
يطلعو,neutre
مستواهم,neutre
لاش,neutre
يبقاو,neutre
يعصبو,positive
راسهم,neutre
الاختلاف,neutre
فالرأي,neutre
دالحوايج,neutre
نتناقش,neutre
فتاة,neutre
فمسألة,neutre
هكا,neutre
شاپوووو,positive
تعطاها,neutre
حقها,neutre
جيدة,positive
راني,neutre
طباخة,neutre
ماهرة,positive
فهمت,neutre
تسلم,positive
الايادي,neutre
علموك,neutre
حالة,neutre
ساس,neutre
رأس,neutre
ماكذبتي,neutre
نتي,neutre
عقبرية,positive
الحساب,neutre
نتقدمو,neutre
فيما,neutre
اختاره,neutre
تحسس,neutre
الدين,neutre
اولا,neutre
انني,neutre
الحالة,neutre
وراء,neutre
التغييرات,neutre
مشكور,positive
المتابع,neutre
واضع,neutre
اسم,neutre
صورة,neutre
طفل,neutre
صغير,neutre
يضع,neutre
نظارات,neutre
سوداء,neutre
الاحظه,neutre
منذ,neutre
مدة,neutre
الاسم,neutre
قرأ,neutre
تغريدتي,neutre
فليظهر,neutre
الامان,neutre
مربوحة,positive
يحصن,positive
راسو,neutre
بالاذكار,neutre
مكروه,negative
لهنا,neutre
اصلا,neutre
ننساه,neutre
لتطيب,positive
العشرة,neutre
تماما,neutre
أتفق,positive
عذرناهم,neutre
البنية,neutre
بغت,neutre
تفرح,positive
الليلة,neutre
نمشي,neutre
ننعس,neutre
غذ,neutre
بغاو,neutre
ينشطو,neutre
نحرموهم,negative
الطلب,neutre
ييسر,neutre
خاصها,neutre
الطريق,neutre
اما,neutre
المنطقة,neutre
فيا,neutre
سبحان,positive
وش,neutre
حق,neutre
الانصاف,positive
الحداگا,neutre
عيدكم,neutre
مبارك,positive
تعيدو,neutre
تعاودو,neutre
ٱمين,positive
نرجعو,neutre
لعادتنا,neutre
كنا,neutre
للاسف,negative
مكان,neutre
تفضل,neutre
الحوار,neutre
اي,neutre
سبيل,neutre
آخر,neutre
تمت,neutre
حل,neutre
للوصول,neutre
اليه,neutre
فهو,neutre
كذلك,neutre
الانسحاب,neutre
الخلاص,neutre
دمت,neutre
نتفرج,neutre
نفهم,neutre
تا,neutre
وزة,neutre
تنضحك,positive
النفسية,neutre
كوخ,neutre
الرائع,positive
باينا,neutre
تصوير,neutre
هداك,neutre
قصدي,neutre
بعض,neutre
المرات,neutre
الصورة,neutre
بدرجات,neutre
تقدر,neutre
مثلا,neutre
تبان,neutre
تزور,neutre
يبان,neutre
ابداع,positive
اها,neutre
زاد,neutre
جمالا,positive
جميع,neutre
موتى,neutre
المسلمين,neutre
مولانا,neutre
سيرو,neutre
التريكة,neutre
تهلا,positive
تولي,neutre
الثقة,positive
النفس,neutre
يعرفو,neutre
يختارو,neutre
يسكنوا,neutre
الخط,neutre
تقري,neutre
تحسنيه,neutre
اسهل,neutre
داومي,neutre
الكتابة,neutre
كوني,neutre
متفائلة,positive
غالب,neutre
يكتب,neutre
ياليسرى,neutre
خطه,neutre
ضحكتيني,positive
ندخل,neutre
الابتسامة,positive
بدون,neutre
مقابل,neutre
جا,neutre
يدير,neutre
معايا,neutre
سيلڤي,neutre
كذبتي,negative
دقة,neutre
الملاحظة,neutre
تتعرفوا,neutre
بعضياتكم,neutre
البعض,neutre
لقيتيني,neutre
راشقا,neutre
گاع,neutre
الهشتاجات,neutre
شتيجن,neutre
روبيرتو,neutre
يجيبنا,neutre
فالصواب,positive
هناك,neutre
حج,neutre
مرات,neutre
عديدة,neutre
جيرانه,neutre
عشاه,neutre
اطار,neutre
تشجيع,positive
المواهب,positive
الذكاء,positive
عمل,neutre
واصلي,neutre
هاي,neutre
ادمان,neutre
حدود,neutre
الجاي,neutre
نشوفوه,neutre
فاوروبا,neutre
البهجا,positive
سبب,neutre
تطور,positive
السعودية,neutre
هدي,neutre
الرومانسية,positive
بلاش,neutre
تهنيتي,positive
البروبليم,negative
منو,neutre
يلاقي,neutre
يتمنى,neutre
يوقع,neutre
حرري,neutre
تشغلي,neutre
بالك,neutre
ضرك,neutre
العين,neutre
تقريبية,neutre
للاناناس,neutre
الي,neutre
طلق,neutre
العنان,neutre
الخيال,neutre
الأولياء,neutre
ديولهم,neutre
يستحقوا,positive
العناء,negative
التكرفيص,negative
هواياتي,neutre
نتكلم,neutre
اللونقلي,neutre
يعني,neutre
أحسن,positive
رئيس,neutre
الحكومة,neutre
قراها,neutre
يقول,neutre
مبتدئة,neutre
صراحة,neutre
عجبتني,positive
رآها,neutre
عمرو,neutre
المعلومة,neutre
دقيقة,neutre
توحشتها,positive
القانون,neutre
يجب,neutre
يطبق,neutre
الكل,neutre
الزبدة,neutre
البلدية,neutre
سياسة,neutre
ترهيب,negative
العدو,negative
يهضر,neutre
يشوفك,neutre
الوحيد,neutre
مهتم,neutre
يرتاح,positive
خليها,neutre
عطيها,neutre
الوقت,neutre
تصنتي,neutre
دلك,neutre
صعيب,neutre
تزيد,neutre
ترتاح,neutre
مشكورين,positive
الضيافة,neutre
كانو,neutre
اساتذة,neutre
زوينين,positive
هكاك,neutre
يحرصو,neutre
المصلحة,neutre
د,neutre
التلميذ,neutre
يذكرو,neutre
توصلو,neutre
يهتمو,neutre
لمصلحتنا,neutre
يحسن,neutre
عوانكم,neutre
حبيبي,positive
ظل,neutre
العامة,neutre
كذبت,negative
عجبني,neutre
قريتها,neutre
نثيق,neutre
كيعجبني,neutre
نتصنت,neutre
يتكلم,neutre
المواضيع,neutre
يتصلح,neutre
اوافقك,neutre
لكني,neutre
اريد,neutre
مناصب,neutre
