review,label
أريال زوين وحتا لفلتر إلى كان عامر وفيه الريحة,positive
Abc واعر,positive
خودي ariel ponds -ولا maxi´s maison حتى هو زوين,positive
إشتري abd من بيم صراحة تيد مزيان عندهمكاين ديما كناخدو,positive
البنات بنتي شي شهراين دبا او هيا طايبة ماخليت مادرت ليها او والو او مسيكينة تاتحك ليرعارفة شي حاجا تقولها ليا الله احفظكوم,neutral
Akhti khyb,negative
أختي واش زوين واقتصادي,neutral
كاين يلاه جبت باكية لبنتي شوفي ش بيم اخر ش مرات كيسالي ليهم,positive
Mojod à kheti Howa li kandir lbenti,positive
Ouiiii moujoud ana f Marrakech Dima kanl9ah,positive
و راه زايد فبيم على لحانوت,negative
اريال لي تينقي ما تبقا غير زواق,positive
bhal Ariel wla omo homa li top,positive
Sarah dart 3lihom kamlin hta had floata fih Riha zwina walayni lhwayj lmoskhin makaykharach makaynach,negative
فلوطا الأزرق غزال,positive
واعر مكيخليش الطبايع,positive
khty howa zwin kayn9i mzn walakin mjhd bzf rihto likhayba,neutral
Oui bhal lmaa okay hayed Mali rqchitih L9ayti feh chi riha mjhda ??,neutral
La howa majhad kayhayad kolshi zwin,positive
Lach kayslah,neutral
حتى أنا ليوم عاد خديتو وباقي مجربتو,neutral
اول مرة استعملتو مرضني ضرني ف عينيا وايديا جاتني فحال الكزيمة كنبقى نحك وعينيا مكنتش كنعس بالحريق خديت جوج تقاطر وما وليت لباس حتا مشيت لطبيب الأخوات لي عندهم حساسية ردو بالكم منو,negative
Bl3eks Zwin kayhayed tbye3 dial tiyab w bouta wkolchi,positive
بحال الماء ولكن ريحتو كتخنق,negative
الا كان لبوطة انا جاني abc حسن منو,negative
كترشيه و تخليه بالعكس زوين مكيخلي تا طبعة,positive
لا ختي تترشيه تخليه شوية تحيد كعا طبايع,positive
بالعكس هو مجهد وزين هو لي تنستعمل,positive
خليه شوية على الطبيع ومسحي بشيفون فازك,neutral
هو ريحتو مجهدة,negative
حتى انا لقيتو فحال الماء,positive
مغشوش,negative
خودي ديال 17dh ماشي ديال 13dh را فيه جوج أنواع,neutral
الا مصورو ليك حتى واحد حتى الغدا ونصورو ليك ختي أنا بعدا تيطيب ليا يديا,negative
مبقاش زوين كااااان,negative
Mohim howa rahe ri7to mjahda katkhna9 ila ma chamiti walo raki t9olbti,negative
حتى انا خذيت لقيتو زيرو ماحيد لي والو,negative
حركي القرعه عاد رشي,neutral
رسيه وخليه شويا عاد بداي تمسحي ، تينقي مزيان,positive
زوين بزاف وفعال احسن برودوي بالنسبه ليا رشيه خليه شوي وحكي البلاصه لي رشيتيها,positive
كترشيه و تخليه واحد شوية عاد تكحيه ماتمسحيهش ديريكت.,neutral
في ريحة مجهدة بزاااف إلى داز مع الحلق خطير امل واحد المرة رشيتو وداز ليا مع الحلق كنت غانموت .,negative
ف اللون فحالو و لكن فيه ريحة مجهدة و ملي كترشيه كيرغوي شويا,negative
ألو الكري هو اللي زوين ماشي اللي لونو ابيض كترشيه وتخليه دقايق يفي بالغرض,positive
راه كانين فيه جوج ،واحد مجهد و واحد خفيف,neutral
كلشي غزال الله يسر الأمور,positive
Waw machalah 3lik 👍,positive
فالحقيقة كاع اللوينات غزالين الله يجيب لك التيسير,positive
موديلات زوينين,positive
ماشاء الله الله يكمل عليك بالخير,positive
كلشي زوين الله يسهل عليك,positive
Tbarkallah 3lik ya le choix,positive
Top,positive
Macha'allah 3lik habibti koulchi rouzal👍👍👍👍👍❤,positive
Tbarkllah fenin.ana kay3jbni loun li labsa jak kay7me9,positive
تبارك الله على مريم. السلعة زوينة و التعامل 👍,positive
فعلا فولارات أنيقة ديال الذوق الرفيع كيف عودتينا اختي كريمة,positive
تبارك الله عليك اخت مريم فلار غزال و الثمن غزال,positive
ماشاء راكم غزالات بزوج مولات المحل الله يسخر ليك عجبني المحل وبغيت نجي عندك,positive
خديت من عندها لبسة البحر طوب حتى هي ظريفة تبارك الله عليكم,positive
كنت كنفكر منين غادي ناخد فولار للعيد غانجي عندك تبارك الله فولارات فنين شكرا اختي كريمة,positive
Tbarkal 3likom sl3a zwina atmina monasiba,positive
ماشاءالله الذوق الرفيع,positive
صراحة مريم دوق رفيع متوحليش في فولار كلشي طوب معاملة غزالة اللهم يسر,positive
الصراحة فولارات روعة وحتى مريم ضريفة فايتة مقضية من عندها المعاملة زوينة ان شاء الله نتقضى من عندها هاد الايام,positive
تبارك الله عليك كولشي زوين,positive
صراحة مريم الدوق رفيع❤,positive
Chi haja waaaw surtout شعيبية طلال 😍,positive
مريم سطور الاناقة والشياكة .الفولارات عندها جد مميزة بحكم معاملتي  معها.,positive
Habibati ana ghadi nji 3andek inchaalah,positive
مرحبا بيكم جميعا عندنا فالمحل ❤,positive
Slm akhti wach 3nda lksawi dyl lkhimar,neutral
Salam khti ana kant9da 3and maryam dwa9a o lmo3amala man dak chi siro 3andha darori tl9aw folar li Brayto 3ziza 3liya maryama,positive
Karima khti allah ishl 3lik bghina mahl ikokn kay livrer ksiwat bnat men daw9ak rfi3 mhtajinou,positive
Wach kadiri  livraison flmaghrib okharij lmaghrib,neutral
ناري ياختي تفقصت دبا جيت عندكم البارح بغيت شال فالغوج بغيك لكن مالقيتكش نتي لقيت واحد البنت عطاتني غير داك الكريب مكنحملووووش قلتيها ختي شي ماركة زوينة هادا راه كيزلق وكيضرني فودني قاتلي صبري معاه شفت حتى عييت وخفت لا منعاودش لقا ديك اللون وخديتو دبا تبارك الله الخير بانلي موجود ها الحرير ها الخيط ماعرفت داك البنت اش بغات عندي,negative
كلشي راااائع جدا الأناقة والخياطة تتبان متقونة الله يعطيك الصحة تنتمنى ليك مزيد من التألق والابداع,positive
مافي أحلى وأجمل من جلابة المغربية روعة,positive
اكتبي الثمن في عنوان الفيديو فعلا ماشاء الله الله يعطي للحرفيات  الصحة,positive
ماشاء الله 😍😍😍,positive
الذوق الرفيع مشاء الله,positive
جميع جليلبات روعة الله يعطي الصحة الصانعين الذين يعملون باتقان,positive
تبارك الله عليك دائما و العادة اختباراتك للموديلات غزااااالين . و هذه بوسة مني ليك كشكر على تقديمك 🥰🥰 . رمضان مبارك,positive
تبارك الله عليك الله يكمل عليك بالخير يارب 🤲,positive
راااااوووووعة❤❤❤❤,positive
ماشاءالله  عليك  كلشي  طوب❤,positive
تبارك الله ما شاءالله هذا الجلاليب واعربن,positive
جليلبات روعة الله يعطيك الصحة,positive
ماشاء الله الابداع,positive
ماشاءالله تبارك كلهم زوينين الله يحفظك يارب 🥰🥰🥰🥰,positive
جميل 🍀🙋‍♀️👏🥰,positive
جلابيات كيحمقو ماشاء الله,positive
جلابة  المغربية  عند ألمغاربة  الاصول   يعرفوها  الا المغاربة 🇲🇦🇲🇦🇲🇦🇲🇦👑,positive
تبارك الله عليك، هادشي رائع,positive
ما شاء الله روووعة,positive
موديلات رائعة مشاء الله تبارك الله بتوفيق,positive
كلشي زوين واتمنة مناسبة كلشي يلبس,positive
هادشي غزال موديلات رائعة ماشاء الله,positive
الأثمنة ماشي في متناول الجميع صراحة سلعة غالية.عندنا في تطوان أحذية وصنادل ماركة اسبانيا وديال الجلد الا غلاو ثمنهم 250,negative
كولشي غزال بتوفيق إنشاء الله,positive
ديما الجديد برافو برافو ❤❤,positive
صنيدلات زوينين ولكن فين غالقاو هاذ لفلوس باش نجريوهم يلا كنقدرو نجيبو شوية دالكل باش نعمرو الكرش كلشي غالي,negative
اثمنة خيالية,negative
واااااوووووووو صنيدلات تع 199dh وااااعرين لي فيهم لوينات زوينين👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,positive
الغلا بزاااااااف,negative
هذاك النوع اختي تيسحق لكدام ويصيبها بالتشققات الله يخليها ماركة شريتها وندمت.,negative
هدو هوما هميزات لالا اختي هدشي ره غالي هههه مشفت ما هميزات,negative
حيتان غالين وماشي شي حاجة,negative
أشمن هميزات ظحكا على وقت ماكان غير 299dh واش هذا في المتناول ناس دراوش ما تفوتيلهومش 50dh  هاذك هي لهميزا بنسبة لناس,negative
موديلات رائعه ❤❤❤❤,positive
مروة دائما حويجها غزالين تبارك الله عليك ❤👍👍👍👍👍🌹🌹🌹,positive
كلشي غزال مشاء الله جولة غزالة,positive
كولشي غزال تبارك الله عليك دائما تتمتعينا بالجديد والعروض ❤,positive
ماشاء الله الفيديو كله جميل تخفيضات معقوله احسنتي,positive
عروض تجنن ماشاءالله,positive
بسم الله ماشاء الله عروض جميله جدا,positive
السلام عليكم ورحمة الله وبركاته ماشاءالله موديلات جميلة,positive
ماشاء الله تشكيلات روووعه يسلم ذوقك الراقى حبيبتى الغاليه,positive
احلى بصمه,positive
عارفه يا يقينو انا حابه اخرج معاكى مشوار مشتريات اكيد عندك زوق عالى❤,positive
بالتوفيق ان شاء الله ياحبيبتي ومن نجاح لنجاح دايما يارب العالمين,positive
ختي مكرهت تمشي لمرو نشوفو صولد لي كاين حاليا بالنسبة المتحجبات فساتين صايات او حتى قوامج طوال اي حاجة كتخص المتحجبة من غير سراول تجين,neutral
صراحة حوايجهم غاليين مع المقارنة مع الجودة مزال حوايج وليدات صغار والبيبي زوينين صبني ورد,negative
هاد السي وايكيكي بعد لمرات غكتجلط في الألوان اديما لحوايج ديال لكبار مكمشين،  شكرا لك على الجولة,negative
جميع المصممين يستعملوا نفس الثوب في كثير من المودلات و كتجي الكلكسيون زوينة و عندها قيمة,positive
ردا على شيوحدين اللي كيقولو باش يكون تنوع في الاختيار هو ملي يكون شي ثوب واعر في الجودة والالوان أنيقة موشي ثوب رخيص   ويبقاو يجلطو بيه السوق. والثمن طالع,negative
ردا على شيوحدين اللي كيقولو باش يكون تنوع في الاختيار هو ملي يكون شي ثوب واعر في الجودة والالوان أنيقة موشي ثوب رخيص   ويبقاو يجلطو بيه السوق. والثمن طالع,negative
Lichomize.zwinine.,positive
هادوك السراول لعراض كنت شريت منهم واحد ملي تصبن رجل طلعات على رجل واش فايت وقعات ليكم؟,negative
مكاين غير فصل وحط هههه,negative
مكاين غير فصل وحط هههه,negative
السي وايكيكي ديال المحمدية ناقص مافيهش هاد شي,negative
عنداك اصغعة  يكون  شي حاجة خطيرة تشوهي شي ماركة انا اختي غير خفت عليك مع دبا لي كيعاير شي حد كيدعيه او …,neutral
سبحان الله La. ولات غير كتخربق و الغلاء. .....السنين الماضية كان عندها البسة أنيقة تليق بالموظفات الآن غير كور واعطي هذا هو اللي خلانا نشريو من محلات أنيقة في المول. ...حتي الاثمنة تستاهل مشي النيلو و لكرا ابتداء من 200 درهم وملي مااشره حتي واحد اديروا تخفيض 100درهم,negative
احنا دابا مضاربين غي مع البصلة ومطيشة الله يرزقنا من فضله. شكرا اختي على الجولة,negative
بغيت نسول على ليبا و سروال أبيض مقاس 4 سنوات واش نلقاهم تماك,neutral
والله يلا نصيحة قبل العيد بشهر خودو لوليدات راه مشيت لقيت عاااامر واكثرية خداو نوامر صغار خصوصا صنيدلات وحتى السوق عامر ولغلا,neutral
ضروري زعما يديروا  الألوان السبعة؟,negative
هاداك جونسون انا تكلخت كنت خديتو او ماكنتش كانعرف ل طريقتو تا تسالا عاد عرفت كيفاش او بلي راه زوين 🙂💔,positive
Wach dak lmortiib zwwin bghit nakhdo omaz3mrch,neutral
Clen and clear no no,negative
Clean clear akhti katzrg o machi mortib hiya,negative
البنات أنا عندي بشرة جافة إليه ليا داك المرطب؟,neutral
تانا عندي ليسيغن بزاف,neutral
Clean nassi7a ghi bdliha b nivia caire hit clean katzrr9 lwjh knt kandirha sinin twiila ta 7ssit bwjhi 9rib imxi o 7ydtha,negative
بعدي من كلين تكليغ,negative
داك لمرطب معرفت فين نلقاه عندي لغسول ديالو,neutral
المرطب واعر ورخيص,positive
متبع هاد رمضان clean & clear زوين كيرطب و كريم hydratant غزال,positive
كاريني نشف ليا وجهي ونوض ليا حبيبات بزاف معجبنيش بقا غير محطوط,negative
غارنيه بلاش منو,negative
نيتروجينا مزيانين,positive
داك جيل نيطوايون ديال نوتروجينا لي مجرباه تقولينا كيجاها,neutral
ختي جربي gel nett ظيال ديال kaline خضر داير غير 80 درهم ومرطب ديال noreva Aquareva داير 125 درهم هي 200 منها طبية منها مضمونين فالبارا,positive
الصراحة مزيانين بجوج أنا خدامة فبارا داكشي علاش الناس اللي خداو هاد الجيل وبشرتهم غير مختلطة جاهوم مزياان متينشفش بزاف وكلشي شكرو,positive
Fadoua Ail واش يصلاح لبشرة ذهنية اختي,neutral
اه راه ديال البشرة الذهنية ولكن داك المرطب ديال noreva راه جوج كاين légère هو ديال البشرة الذهنية ماتشريش اللي riche,neutral
Hahowa le gel nett lyouma khedama hani sewerthom likom,neutral
Garnier خايب واياك تخديه,negative
هذاك المرطب نتاع نيتروجينا صغير سيمانة مايجيبهالكش,negative
Ana endi serum dial garnier vitamin c houa w crème du jour 3la chhal 3ad Kiban l’effet,negative
Dyal neutrogena zouin bezaf ead salithom kay3tiw wahed la fraicheur lwjeh khatiraa,positive
مكين ما احسن من lorial داكشي لاخر لاأظن,positive
خودي. ديفرين و اكخون و كريم مرطب,neutral
Khodi gel nettoyant dial yam and one o crème hydratante dial loreal zwina,positive
لبنات حشوها عليكم طلبتكم تعطيني شي روتين ولا غير سميتك بخوديوي ولاكن حتى حد ما كلف راسو يجاوب,neutral
نتروجينا ما فيهاش ايكخون,neutral
لمرطب ديال نوتروجينا جاني مزيان خفيف انا بشرتي ذهنية,positive
بلا متتزعمي تخدي غرنيي,negative
سيراف هو لي دار ليك الحبوب انا كنغسل بيه اليوم غدا لقى شي حبة جربتو شحال من مرة حتى تأكدت منو وحيدتو,negative
Hafsa Chaouki ااه هو الى قديت تصبري ليه تايخرج دك الحبوب كامل لتحت جلد عاد امكن اعالجو ولا انا منقدرش نشوف الحبوب فوجهي ونبقى نستعملو شكون قال ايحيدهم من بعد هههه,positive
L’oreal رجعي ليا وجهي كاع حبوب,negative
Khti bgiti thnay man lhbob olartras dozi 3ndi lkhas n3tik lhal wllh obgitk gi d3i m3ayaa,neutral
"Ana khdit un gel nettoyant dyal l'oréal saraha ghir 3la llah w sdaq zwin b 53dh ymkn mn jumia, atbqalk 150dh chri biha chi crème mzyana li tji m3a la peau dyalk",positive
Hajar Hammani ختي كيف دايرة بشرتك,neutral
dl’oreal kan eajebni bzzzzf,positive
Garnier blach akhti,negative
Dual l'oreal zwin tayrtb mzyan,positive
Hd sabona zwina bzzzf,positive
Dak lmortib d neutrogena ylh khdito w hsit b rasi t9olbt fh 🙂👋,negative
Neutrogena hoa o la crème top,positive
Ina wahd knti wakhdaa f cerave ?,neutral
Neutrogena mziwnin,positive
Garnier 3ndi lifih himaya dyal xams mazwinx bhala dayra tabaxir lwjhk mais l9itlih wahd l9alb tanfzg wjho wndiro,negative
granier de preference tb3di mno,negative
Neutrogena zwin o creme l’oreal hiya li kandire daba zwina mais khodi hasaab no3 lbchra dyalk,positive
Khty dak garnier o Neutrogena hi matkhdihomchi la plupart galo khaybin,negative
Neuterogena khayb Ana endi peau grasse khrej lia ela wjhi nweeed lia lhbub o kinchf bla qyaas,negative
Hydraboost gel nettoyant parfait pour la peaux seche jrbto khfif mkydirchbhsasya l3in zwin,positive
Neutrogena ahssena madert f wejhi kayne9i meayaan,positive
Neutrogena carcum a7saan wa7d takhli lwjah n9i wrtab,positive
L'oreal zwin 3ndi,positive
crème dyal Neutrogena kaychakroh bzaf yalah naweya ncherih,positive
3andi L'Oréal ma3jbatnich daret liya l7bob,negative
walk-in dak la crém dyal garnié kolchii kaygol khyb,negative
Lorial wa3ra hiya li3ndii ana bcharti mokhtalita netrojina crém zwiin tahiwa,positive
نتروجينا غاسول وافقني ✔,positive
"غارنييه غير زبل 🛇
مرطب دياله دار ليا لحبوب 🛇",negative
دابا متبعة معاه ديفرين وافقني,positive
جربتو دارليا الحبوب وجربت جيل نيطوايون نشفليا وجهي,negative
غارنييه لا غير غتخرجي على وجهك و لخرين معرفتش صراحة,negative
La creme dyal neutrogena zwina ila kant 3ndk la peau grasse,neutral
Ana Jessica non eandi peau mixte,neutral
7ta ana 3ndi peau mixte khdam liya mzian,positive
نصيحة ليك خودي هادا كيناسب جميع انواع البشرة و رخيص اتلقايه فمرجان,positive
Imane Znini je confirme ana ja m3aya bzaf,positive
حتا انا جربت بزاف كلهم كينوضو لي الكزيما من غير هاد,positive
هو غير غسول لا غسلتي وجهك صباح و عشية الحبوب كيبداو ينقصو,positive
تقدري تلقايه موهيم انا كناخدو من مرجان,neutral
انا بشرتي دهنية عارفة بلي ماشي مرطب ولكن ملي ستعملتو كل نهار دارلي لحبوب و دابا كنستعملها غير اذا حسيت بوجهي نشف,negative
ماشي مرطب هو مرمم للبشرة المتضررة و الا استخدمتوه بحال المرطب غادي يدير الحبوب خصوصا البشرة الدهنية و المختلطة,neutral
هدا ماشي مرطب هدا مرمم,neutral
الا البشره ديالك دهنيه نوووووون نووووو ، غاتولي تقطري بالزيت,neutral
انا بشرتي دهنية وكنديرها مدرتلي لا حبوب لا والو بالعكس كتخليلي وجهي رطب وكتفتح,positive
بشرتي دهنية و جربتها غزاااااااالة مايدماتش ليا وجهي مافهمتش هههههه و بالعكس كتحيد كاع ليطاش و كتصفي الوجه,positive
فن فن فن ولكن را تيرمم الوجه انا كانو عندي مسام واسعين لاحضت بداو ينقصوو ووجهي لونو رجع ليه🙂,positive
البنات لي عندها فكرة اشنو ممكن نستعمل مع ريطاكنيل كمرطب مع العلم البشرة ديالي دهنية كندير دابا سيكابلاست ولكن حل ليا شوية المسام,neutral
واش زوين ليطراش لحبوب التصبغات (للبشرة الحساسة),neutral
انا بشرة ديالي مختلطة و هذا مرمم و زوين انا كنديرو كل ليلة جا معايا و عجبني,positive
هادي غييييييييير للبشرة الجافة اولا التالفه 😭😭😭😭😭,neutral
لاوياك غادة تخرج علك هذا مرمم الجروح والبشرة الدهنية غادي يخنقها حيت ثقيل و غادي يخرج لك الحبوب,negative
واناااري يله خديتها لباارح دييما كيطلع ليا انها واعرة فترطيييب و دابا فاش خديتها عاد بداااو كيطلعوو لياا هاد الكمنطيرات ديال انها خااايبة اش هاد زهر هههههه,neutral
شحال دار واش إصلاح ل البشرة الجافة,neutral
متصلاحش كمرطب,negative
واعرة كداوي الوجه كتحيد كلشي خصها غير المداومة,positive
Nn hada dyal lbaxra ljafa kayn dyal dohniy bohdo,neutral
Dar Liya l hbob,negative
هوا لي كاندير واخ غالي واعر صراحة,positive
Khditha ma dart liya walo,negative
لا منصحكش,negative
la avene cicalfate hssen,negative
Ghadi ykhrj lik 3la wjhk akhti nasi7a la,negative
"No akhty hadi machi creme hydratante kadar ghi mera mera ila kan wjhk 7mer ula la cire u la nachf bzf et makadarch wjah dohni
Ana knt khditha u B9it kndirha kul nhar khrj lia 7bub bzf htal après swlt 3ad fhamt",neutral
mayslaaahch lik ghaynwed lik lhboub hit howa mydem bezaf wnti lbechra dyalk dohnya gha tnedmi,negative
Machi crème hydratante hadi,neutral
Hadiii machi cream hydratante hadi baume kaddar l chi jar7aa ba9ya jdida wllz derti lassir wta7re9ti diriha wlla wajhek kadirilo bezaaaf leq produits kadiriha 3 fois par semaine,neutral
Knt dertha ana m3a retacnyl ms crème réparatrice et pourtant dart lia lhboub,negative
Cheritou khaib endi nwed lia lhbub re9ii9 tiji ghi m3a la peau sèche,negative
sarha litygolo khayba bek3kss mzn katrmem bechra otertbha okt3tiha wahd nadara zwina khass teb3iha,positive
Nn dyal peau seche dartli ana lhbooob,negative
Zwinnn anadayrah crème hydratante o3ndi peau grasse,positive
Maysla7ch machi crème hydratant,negative
"Ana hada kan ndirou masque men lil l lil kay idir lia wahed l’éclat zwin bzf f la peau diali belheq kan ndirou morra l morratib b chi 15 min lweqt li tcherbou lbachara diali
Ps: 3endi la peau mixte sensible à rougeurs",positive
Ana 3ndi akhti wla9t lia hia w vitamine E wbchrti dohnia katn9i lbachra m3a lwa9t zwina sara7a,positive
Hadi machi crème hydratante hada c’est un baume réparateur kandirouh fach katkoune la peau mltahba,neutral
Wayak,negative
La laa laaa laaaa laaaaaa,negative
Hadi maxi mortib,neutral
Mbghitx nsdmkom wlkin kntbkndirha glia tbib hdik dyl lguzima sdmni,neutral
Ila andak peau grasse ghaydir lik hbob,negative
Ghda tkhrj lik lhbob,negative
"Yalah kent end demato, qatli comme quoi hadi kadir lhbob yla dertiha chaque jour",negative
Laaaaaaaaaa mns7kch hada kaysla7 lbchra ljafa omachi ltartib howa gha ky9wi l7ajiz dlbcha ila kan mahlok,negative
Lwa7iid li fach kandirou wejhi kayt9lab blhboub manhar 9te3to ou lhbob hbso hada maysla7ch lbchra dohniya myidem bzzaf,negative
Hada mashi morateb 3awdi moraia hada mashi morateb,neutral
Dretli lhboub zwina l bchra jafa,negative
البنات واش كاين بحال هاد المرمم ولكن شي ماركة مختالفة بحال فيشي ؟؟؟؟؟؟؟,neutral
A7san ma drt kwajhi ra7ma pli drto wjhi chad m3aya trii9,positive
بغيتي مرطب ديري Effaclar Mat أما هذا راه ماشي ديال الاستعمال اليومي,neutral
هذا ماشي مرطب راه مرمم,neutral
El Hasnaoui HaJagh ana bchrti mokhtalita wach yslahli fya chi tâche w wla kit9chr,neutral
لا هذا راه مكيصفيش البشرة من البقع و تقيل على البشرة كيدار غير في بلايص لي متضررين و لا فيهم تهييج,neutral
صراحة غير دفشة عطاوو كثر من قيمتو انا شخصياا جاني لاعلاقة و اصلا ماشي كريم ايدغاطون,negative
ila kan wejhek wekl de9 o kathsi bih nachf wakha bachrtk dohniya khoudih reh zwin ana reh 3endi obachrti dohniyaa okayheyd chwiya dyel les taches ms jdeeed walakin khasou lwe9t bzff,positive
واش يصلاح للبشرة الدهنية,neutral
لا علاقة,negative
راه مقطوع قلبت عليه حتى شحفت,neutral
مايصلاحش للبشرة الدهنية,negative
مرمم تبعتو شهرين مالقيت تاشي فرق,negative
يهبلون ماشاء الله,positive
Noir ou lbida ou lhamra,neutral
سلام اختي الله يحفظك في عندك المحال الله يعطيك الصحه بغيت وحدا ،👍👍👍👍👍👍👍❤️❤️❤️❤️❤️❤️❤️❤️❤️,positive
Halto o yamo o ghali,negative
Ana ma3raftch had la marque elach hassa b rasha a ce point hhh ya pas de rapport qualité prix,negative
عااادي جدا كاع ميستاهل داك الثمن ديالو فيلوغكا غاكتخور الناس,negative
اويلي مكيعمل والو هاهاااااخهههه,negative
كاملة لي زوين عندهم هو الواقي الشمسي اما كولشي غي ماركوتينغ,negative
Filorga rah machi chihaaaaaaja. ! Ghalia ou efficacité dyalha chwia osafi,negative
Hadak chi li ratkhssrih floussha darbi bih jouj Ibari botox o hani so9,neutral
Mashi shi haja 3aaadi mabanli hta far9 f wjhi,negative
عادي صراحه,negative
Mazwinch,negative
Had filorga ghalya ela walou,negative
لا علاقة غير كترت الإشهار وصافي,negative
",عادي جدا غير الشنعا على الخاوي",negative
La Gamme khaaatiiiraaa Bzaf Ms GhaaLYa Bzaaaaf,neutral
Zwin walakin machi ldik daraja dyal hadchi li kay9olo o zid 3liha ghaali,negative
ماااشي شي حاااجة,negative
كدوب متيدير والو,negative
ماشي لهاد درجة,negative
مهم واخا كاع يكون زوين غي تقطعيه يرجع وجهك كيف كان اذن مضيع الفلوس,negative
عادي جدا غالي نبعتو 3شهور مابالي حتى فرق castalia vit c zwin,negative
Mazwinch makidir walo,negative
شاحلكا تزيدو. فيه كان عندي مجموعة كلها والو عادي غي كا يرطب,negative
Khayba 7altha katb9a t9echer flwjeh o katban la peau mgabssa khdutha kandirha ghu lyediya,negative
Ahsen ahsen ahsen ahsen baume a lèvres hua rogé cavaillès,positive
هدا واعر وجربيه ودعيلي مع زوجي ربي يشافيه ويخليهلي,positive
هادو زوينين،البيض دايراه جيل دوش،أو الغوز كنعمر بيه قريعة دايراه صابون لليدين,positive
rose la 3ala9a,negative
kanst3mlo savon pour les mains jani zwin kayrghwi o kay5li ri7a zwina,positive
khdito comme gel douche ma3jabnich,negative
عيان,negative
Tooop,positive
زوين بزاف داك الغوز معرفتش علاش مبقاوش يجيبهم,positive
3yaaan,negative
اختي انا عندي من شحال هدي زوينة,positive
اختي واش مزيانة,neutral
معرفتيش اشمن ماركة اختي,neutral
Gaaaa3 kantsenawh fih bi farigh sabr,positive
... Garnier nchefli wejhi bezaf,negative
صراحة عبد الله فركوس احسن ممثل والافلام المغربية كلها زوينة أخوكم من الجزائر,positive
الموت ديال الضحك,positive
صراحة فيلم روعة وثنائي في القمّة .,positive
غزااال  هاد الفيلم . كيحمقني. التقاليد ديالنا المغربية الاصيلة .,positive
فن صراحة رابع مرة كنعاودو ههههههههههه واعر,positive
فلم أكثر من رائع الاسره المغربيه الاصليه,positive
"أحسن مقطع هو ديال 
سي عتمان لبغل 
ولله العظيم إلى مت بضحك 😂😂😂",positive
فليم ولا روعة قتلني بضحك😂💗🌰🤙✅,positive
من صغري وانا كانحماق على هاد الفيلم,positive
فيلم هايل يضحك واقعي نحي على الخاطر,positive
