commentaire,sentiment
LLALALALALALALALALALA la canción de la piscina y la discoteca 😂LALALAL😂y tod@s bailando al LALALAL y yo en la piscina 😌,Neutral
@ILOVEYOUBABY55 eh walah homa li kano msabrina yarit aniso yji yzorna nhazouh fou9 ktafna,Positive
@JamilaAbaoui ze3ma ida 9alat hakak ra 3anda le 7a ra gher bghat tenechet twetter dyal ou insta ou ntoma derto dakchi li khesa,Neutral
La ilaha ila lah Ina lilah wa ina ilayhi laraji3on http://t.co/zlwc9ZGsdR,Negative
@AliiMezher enta 7elw w 3asal w 2eshta b kel 7alatek bas 3afekra enta dabdoub mou ba2ara ma yekazbo 3alik hhh 😬❤️,Neutral
@Safagrrr hhhhh ohoyawa khllina dakchi l ktama :D,Neutral
@samar52919098 oui chtiwa ghzala lah ij3alha 3la 9ed nfa3,Positive
@akdi2014oumaima khti makaynch m3a mn taf9i chi kaychre9 chi kayghreb!!!,Negative
@sarahsalamaaa @HananeElKhader nnn rah casa machi rabat,Neutral
@IbtissamTiskat w hna nmouto 3lik,Positive
Ahsan blan rbeht mn had twitter howa berka peace lyom ana w Zmeet w lfawda 🙏🏼,Neutral
"sa3a w ana kantssena f tabon mok, 4 tranat mchaw w nti ba9a majiti https://t.co/L9PsGVT8IE",Neutral
#هشام_الحاج_بموازين_المغرب 9olilon law min ma kan ghayro ma badee @FestMawazine,Neutral
@othmanelouardi1 HAHAHAHA exactement . Ana Yahoo sala m3aya,Positive
@AllaliOfficiel khoya rachid rah brayna nchofo hassan lfad f rachid chouw,Neutral
"@SOoOkWyS 3rfti aktar haja dhkatni min l3achra glt nass tsb7o 3la kheer,mais fatat 12 wa na ba9a hna",Neutral
@sirinaTun @Saadlamjarred1 raho badi daba ana nsma3 fih,Neutral
@Sara_Bhj ntya b3da la brya la tinifo,Negative
#HananeElKhader #SocialMediaNight hna kanmoto 3lik kifma nti b9ay m3a rafa wakha kaytkhasem m3ak rah 3ziza 3lih hna likanchofo kolchi slm,Positive
@azizhinni sir tssanet l radio mars rah jaybin toshac,Neutral
@FatimaZahra_SA @Saadlamjarred1 Ikhlik lili a l7biba dyali,Positive
@Si_Fatima23 wach hadchi li kteb Mosaab yalah had liyam wla ch7al hada ???,Neutral
Nhar tchouf chi mrafa7 kayt7assab 3arfo kan mzlout #FVX #JVTK #GV3 https://t.co/A7XpQ64gC5,Negative
Wayli drt retirement mn gaming kolchi bda ki quit haha ma3rftkomch ktwa7choni lhad l7d 😅,Positive
#IbtissamTiskat #اعترافات_تسكاتية Makntch Kahml Btissam Fl HUma Hh Ghi Men 3nd Lah Ms Ki3rftha Mzn Ndmt 3al Nhar likrahtha @IbtissamTiskat,Positive
#IbtissamTiskat had chi likharej 3lina kantsar3o okanbdaw loumouu o hna ma3arfin waalo wach chi had krah imchi itkarm !!!,Positive
@aliessleb @HananeElKhader 7tirim 7allak ali @RaphaelJabbour1 honn khalassna ghazal la yji ytbchak kaf ykhalihom yrinooo #رافاييل_نورت_تويتر,Neutral
@maryoumaTs @DifferenteFemme @MagicRose2011 @mk2210_ ray7a meser tkamal bouss la minna 3achan tinja7 hhhhhhhhhhhhh tayahti bkaramat ljazayer,Neutral
Say sleep well la 3la wa 3asa n3so had lila !!!!,Positive
@AjajigAmina hahaha wlahiila😂😂ana ki3jabnii tfartite dial Chipss🙈,Positive
@SaadEl01 @MarwaKaoutar 7na fach kna kan5dmo o tantalbo biha lil onhar onas kant na3sa mli jaboha 3ad fa9o owlat wasta,Neutral
@Tiskatia_france @mea1011 ana msayba imilat o makan 3rafch nsawat,Neutral
Waa nmi ktb chi *lwa tanta w aji mzkna.. zabor dialk diro khtba fchi jam3 tdi ghi l ajr https://t.co/tqTkfIgGKq,Neutral
@Wafati2 zin chaft klamkk lfayez said fl barnamajj yak nti ba3daa hhhhhhhhhhhhh,Positive
😂😂😂😂😂😂 Ya raaaab 🙏 ( Bas ana 3andi liste twila mesh bas huwa 🚶) Hbiiba dyali nti .. Rebi ykhalik a khtito💙 https://t.co/GzKsqxN2uc,Positive
@rhizlane_haddad @assdq88 plz sawri dak video dyal hadok li kigolo hanane imta hato molah chi 22 semaine hhhhhhhhh,Neutral
@mhamadzahra @kanza_farh kelma 2 taygolo shour baz 3la wjehom w houa wakhdin ja2eza oula f chodod,Negative
@biigvieux 😂😂fall est-ce que doo deup wakh dji rkk Sakkou teeff gui dei si gnoune la warrei,Neutral
https://t.co/BDT2XK0TIV #StaracArabia #SouhailaBenLachhab Dkhlo hna Chufo Chnu Tari #IhabAmir,Neutral
@norrinoni @ihebhaso mnine tàyti7o 3lik hàd àfkàre hhhhhhhhhh màhboulà,Neutral
Bnadem tako f kolchi ta men lgaro aw,Negative
@kasimf Anti ya annissa ba3ida kolla lbo3d 3an lfahm l7a9i9i w wad3 l omour fi nissabiha,Negative
@rose_bladi @IlhamHuma @eltangerino ana li b4it n3rf chkon hxa m3ak 3mod wax darori dakhli flhadra dyal nass wasiri 3ad mok tbdlk likoch,Negative
@rosebreeze1 @tessa_gha dakachi likayan khati rabi kayjazi kola wahad 3la 9ad nayato o hiya jomhor ma3ah kamal baraka,Positive
Ntfahm b la silki https://t.co/jJIApcuPPy,Neutral
@maror4ever o dio ghadi mzn f nissbat mochahada leanaho kalimat dyalhom bjouj olikhalah injah nass likano mntadrin dio ayam staracademy,Positive
T R A V E L S W O R L D / ARABIAN WORLD T O U R I S M I N D I A N FOLLOWERS ( MAHARASHTRA ) M U M B A I / I N D I A https://t.co/f6yrohSQON,Neutral
La saga Naruto Ninja Storm https://t.co/ms9RkFATta,Neutral
@cypriensafoaa hhhhhhhhhhhhhhhh dahk rafihouum omahassin biiih ila bghaw ihadro iba3do 3la moda whadro khenzethom akbar dalil hhhh,Negative
@oscar_jjk Looool kant diyal lma daba dow hhhh,Neutral
a tkewzi nkhawrek ou la ghadi dwzi lia virement,Neutral
@AlWaziir we katle3 mra mra dyal chi ami proche o ssafi ms machi ay wahed i9ed i accedi l dok les infos we9tma bgha ghi ila tla9a m3aha ossafi,Neutral
@souka_official #IbtissamTiskat galt bali rah7na sa7ara 7naya mashi kanjiw kanhadro fshi7ad b7al haka rah hiya lijabdatna 3ayrat lina bladna,Negative
@ShathaHassoun cho ra2yk b btisam tiskat bbidayat michwarha et merci,Positive
@sebbilal1 @TouNouna @sabrinaBTsung @hananemkalcha92 chof bladak wbnat bladak ki dayrin 3ada ji hdar 3la lalkoum ya l3anzatttt,Negative
Diiirhaaaa . Dirha i dare you to do it ..gha dirha ..3afak https://t.co/11EaCnvz18,Neutral
@99Kahina RAKI F CHAHAL MABANTICH WLA RANI GHALTA,Neutral
W2na b5af allah la y6l3o https://t.co/QUsb1EoRDc,Neutral
@SousseNesrine sawtha ahsaan mn kteeer naaas w moch kolchi 3la sawt,Neutral
@i_love_moroco @HananeElKhader ti3mal jadwal la yimchi kol 3lih,Neutral
@fatiblaca @91Du3a nkbo wla mankdboch haak chgholbna siri sawti akhti wiha frask,Negative
@bilalalarabi SVP imkan n3arfo mnak imta ghadouz had l7al9a?,Neutral
- Bnadem toxic fhala 3ashe f cartel qwed mn l Mexique..,Negative
#HananeElKhader #socialmedianight hanon hbiba khadmi leval mzn bghina nxofok kadarbi plz bghina la9ab lik kanmoto 3lik slt nassim rafa anis,Positive
"@VengerVengeance @ZinabOussama hhhhhhhhhhhhhhhh zidi zidi Goli !! lbare7 men l9ahra dyal X FACTOR jatkom Zineb, mo7al tkono n3essto hhhhhhhh",Negative
@SaraSarsoratiti ra 7na 3arfin chkon sohila mntsnawch msg man 3andha kaynin chi wa7din m3rofin ghadin ynt9doha wa5a tchad tayara 3ndo,Neutral
Ouf ba3da machi beurk 😂😂😂 https://t.co/ZbcErmgSSA,Neutral
"@Warda_Maghribia @HananeElKhader @RaphaelJabbour1 asegu3a daba ynodolek jama3at ana anssa7ib, ye7eydolek jenssiya khedrawiya hahahah :D",Negative
Tsala lik lbouta w matkhsrch lik l brika 😭😭,Neutral
@yassminapilote @LourinH25 @sallyy2105 hhhhh amiiin ya rab o ikjalikiii kaman,Positive
jawbini kifach ndiro lajh taaabiri@Wissal33300639,Neutral
@malikamaroc123 ana f khedmaaa kayn chi lien fach ntfareej !!,Neutral
@fififiver @stellacaramelle la bado dal3 iji 3andi ana ra7 ichaf dala3 sa7i7,Neutral
@farawlaaya @Saadlamjarred1 Tat3jbni bzef khdamtk nti o @FATMA_TEARS tatjibo les vidéos las9in,Positive
@Larryarabe shkoun lli kikhallas shkoun?? lmhm wa all know that modest kitba3 leflous finma kanou o lets face it USA darouri maykoun 3andhom,Neutral
lihodiyat kaythano m3a ba3diyathom kokna hna may3tabronach 2o mayrarboch 3lina hta hna t3aydna bi3id miladna #L3onsiriya wa #Lkorh,Negative
@wwff310 @ELAJORRYHAJAR hhhhhhhhhhhhhhhhh matjawboch hada rah la9itt mne douk dzarin li ness ness lay3fo rah chb3o fih m3yor odb ja andna,Negative
#ايهاب_امير_في_رشيد_شو #IhabAmir sawaaa7e wana machi layali sawahe,Neutral
@Kenza__Morslii habibti kanouz ga3 mgharba kayhma9o 3lik w9tach atzourina !,Positive
Arabic 101: As-salāmu ‘alaykum: Peace be with you (to say hello). Min fadlik: Please. Na’am: Yes. Lā: No. #ilovephotography #ilovetravel #adventureisoutthere #travelphotography #travel… https://t.co/WO8T3VTdGf,Neutral
@malaksoukafifo @ghizlane_HLO @hasouna2510 @ElameraRoma inti o yaha mahchamtoch chi jiyin hata l3andu o ka thadro fiya,Negative
@abraham_jad @MoudiAsma @marooc200 ewa yal maredd lihdar m3akk golha liya o ba3addd,Negative
@MarYam_Fivers @SaidKarmouz hhhhhh had chi kolchi 3rfha hit galha f fb,Neutral
"@saraouahabiel @Nissantiskatiya hnaya mgharba ,ohobna li ihab mitl hobna li hanan ,bas iza ab3adat 3an lmoharij ya nas mahbitouch fhmoni",Neutral
@fleurmaroc1 @Tiiiiskat90 @souka_19_7 @IbtissamTiskat lbnat 3awnoni ntalbo man rachid show ijibha rah daba safi ghathdar lsahra f 2M,Neutral
"@35119a27e4eb4e4 hamdoLAH kol kheer ghi ba3d nass li l'assaf khas t3amil m3ahom haka,sawa2an hna f twitter aw f 7ytna lwa9i3iya",Neutral
@lamyaaw ya7liliiii hahaahaha♥ omggg yonghwa won :o :o :o omggg congratzz♥ hehehe,Positive
@BBero215 elnas dool m by3rfoo4 8er elli zayhom w mn els7 enna m ndlhom4 ehtmam,Neutral
Na tiela yo motema. @ A Wahd Lblasa https://t.co/aleu6UfiT1,Neutral
@Snazooo1 Mochkila Ana 3andi man 2020 hhhh tfooo,Negative
@AzzNoha siri lah iligiha lik lah i3tik cghi mosiba kkolchi ki d3i fik lah youmhil la youhmil raki dalma lbent mat3rafi ach ghad iw9a3 lik,Negative
@LeSheriiff Nari wili la hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh @karimOUTTA,Negative
@khloudissa sara7a ana mabe3raf bas sma3t,Neutral
@miladhad W akheran sayara nour kitaboka estazi l 3azizi met2akda rah yel2a rawaj kbiir L 2ano yestahil Good luck♥♥♥,Neutral
@IbtissamTiskat betyy hna bikhiir b choufteeeek,Positive
@AlArabiya nahno jomhor najm ihab amir ladi ta3arada litazwir f staracademy b3da mafadaha moara wa tala3ob f staracademy,Negative
@omarov55 mais sohila asl o ba9i t9lid daba y3yaw ana chakit wala klchi dayr tswira ihab o galss yssb f sohila l3boha mzn o bano li nj7o,Positive
"@nada0074 ana a khti mafrassi walo oma3arfach aslan 3la ach tathdri,min jihti rah makyn walo o jani ghreeb nsma3 mnak had lhadra",Negative
@najwakaram Ana mabimchi wara dijal,Neutral
@jklmn1234561 w3tini dalil ana 9aftan torki?w3tini dalil 9ati3 ana sra9na toratkom wano ta3kom? ba3da achno sra9na??7int ana hami ghi 9ftan,Neutral
#IbtissamTiskatInMEMA2014 Ibtissam Tiskat ya rab ikon m3aha,Positive
@LolMimita @DouniaBatmaA hhhhh ok hbiba wakha mafhamtkch mais kolchi ndiroh 3la 9bal @douniabatmaA ila bghiti hadri m3aya f prive ok,Positive
Ich bin so begeistert von ___ Band! a) dieser neuen b) diese neue c) dieser neue,Neutral
@tarek_alioua Ka ysslem 3lik 😅 Gallik douze ida 3ndek chi 8emza,Neutral
chti7 fl biran nas ghar9in f chikat https://t.co/aWA7WYpSn3,Neutral
@chamsassabah @St7Soso @souka_official @sabir_sondosse @sanae2m1 soukaina dik nhar drt follow haydato o 9lt f khass anni ghlatt....,Neutral
@MBCTheXFactor ana kantmana the five li yrebhoooooo,Positive
@Saadlamjarred1 Chfna l7al9a o 3awdna chfnaha sara7a la yomal min choftak wala min soutak RBI i7fdak lina WLD BLADI #SAM_B,Positive
@Chaouali1970 Ya akhi hadak Wjhak wla gfak Kont na7tarmk lyoma ta7ti mn nadari ya3ni ba3d kol hada watara anna taraji yasta7i9 al kass F you,Negative
@NabilaTiskat @IbtissamTiskat ma3jbtnich tari9a bach kathdar bagha dir li9a2 omaradyach thdar m3aha 7sn blach !!,Negative
@fadwa30fes lach achno dar mani 9altiha,Neutral
@SsaadLamj @Saadlamjarred1 hna bghina SAAD dima frhan bina 3afakom sawto plzzzzzzzzzzzzzzzzzzzzz,Positive
@anasbennis07 s3datk akhoya mn 2015 wnta f twitter,Positive
"@najwakaram bta3rdi had l2yam li inti mou hun, saba7 w mase2 b aguaniikii walahiiii 😘😘 B7ibek 2ed hiiik http://t.co/P62jqKHtwN",Neutral
@nourwsf0 Dkxi a akhi diro ma li bhalk rjal mam3ahomx t9hbin,Negative
@inwi 3lach zadto fi dayler,Neutral
"@ikramkharbouch_ @Loonaselene @BalthazarBatata Ewa sf makin li i7achiha lik , yalah jit mn nadour matsawe9 lia 7ad hhhh",Negative
@JaberJag wayeeh serbia 9rit kano ki9tlo les muslims ....HHHHHHHHH mais daba mab9awch o lah o3lem,Neutral
@taeyaya4 Kayna chi whda hsn mn hdi f Twitter ??,Neutral
@sanae2m1 @souka_official sana wach ma b4itich tadwi t5alina nodo na3so wala chno #SoukainaBoukries,Neutral
sultaana hananne w l mauve yaaaay https://t.co/LI5EYicPSB,Positive
@hhhh11123137 wwrawni nchofo kifach 3rafto anaha tssajlat,Neutral
@raw3a123raw3a12 hhhh la omsefta liha nto fakhr je sais pas quoi bazz wllah hta bzaf 3lihom tamghrabit,Negative
"@omarov55 @d_meriem31 je parle 3ela rassi ana et cheno 9alt heta ntouma aji chofi daba cheno katketbo maintenant, ana j'ai dit mabrouk",Neutral
#Ibtissamtiskat KOLCHI yechof la vidéo yallah https://t.co/bcAAiH5HLy,Neutral
@taleofaj Zid 3liha chi congé payé w last of us,Neutral
@Amaluniv_bety amoola !!finek dkhlini l group bhad lcompte mcha li compte dyali l2awel,Neutral
Ewa hadi rah waqt limoune 😂😂😂,Neutral
@nissanbissan1 @SRifiyan wchno kadir kadir dik saho f le nom ... ghaba2 la matila lah,Negative
bladi ya zine lboldan allah y7afdak lina men tanja lgwira o allah ya7fad lina malikna ya rab &lt;3 #الصحراء_المغربية http://t.co/dcHaFDPlJi,Positive
@P8co9MiIsAsEIJy rah kandwi 3la mawazin okey zyonat,Positive
У пальм своя мода на причёски 🌴 @ La Cote El Jadida https://t.co/Z8g3VQybWa,Neutral
Bruh bach tdit content dcho hj khyba katra fmdintk ra bzzf wlh bmdm fa9dha https://t.co/v1S7cKequE,Neutral
@K7al_L3afta @StarBecks nta hwa kimmo tuolema,Neutral
@fc831e50d3bd44b mo7al ydiro les msg taydiro ghii lii bgaw bach ydiro moslsalat,Negative
@Mouaaaaaaaaad hta ana mn wra jbel hhhh @MiaaBoudlal,Neutral
Real men big up aussi a la mafia newyorkaise et sicilienne https://t.co/krJL0Hta2H,Neutral
@farah2000000 babak ydir lik tahtah hit ba9a cha3la daw htal had sa3a siri tnohno ya momo,Negative
Styve (La Fuente) - KDO (Prod. Magistick) [Audio] https://t.co/17okCisqG3 via @bweli_tribe,Neutral
@aminattttta @ely_rayan @123mondial 9olt fhad lahda krahthom...kayn far9 ila bghiti t9al9i mn ha9ek laken ana had klma tangolha,Negative
@girly_ben @AlmaaliSamar ouiiiii fa9ssounii hadak rapha ra khatirrr howa w 3abas mn lawal mahmalthomch,Negative
@ouranoslhorba @UncleJa4ck @D31R10x Askot l3biiiid tsa7bo onta la hhhh,Negative
#Ibtissamtiskat chkoun ghadi demain lmatar yeste9bel ibtissam ?,Neutral
Kan t7no f REVO ou kan tero f JUDO🤡 https://t.co/Uabn2CmXEv,Positive
7ssana gha credit o tab3ina wlad l9hab,Negative
@IhabAmir18 ihabo hada hisab fans l anis moch anis,Neutral
@ne2s_u hhh nta linfayel 3la rasek w daba t3awed tansah,Neutral
#IbtissamTiskat #العيد_احلي_مع_ابتسام_تسكت @LaithAbuJoda #LaithAbuJoda Kol 3am w laith w fansato b alf kheir http://t.co/tdvVCJAPVd,Positive
@i_love_moroco @Marmarsonp omalkk nta ach dartii basalamaa,Negative
@maryoumaTs HHHH wa9ila maktchofich nari ya 5ti tkadbi 3la wa7ad howa ba9i 7ayy,Negative
@malaksoukafifo @MahmudMohey @souka_official lisa badakar ioum li kount bitidhak inta ousouka 3ala jean ahla ayam,Neutral
😂😂😂😂 TAS dyal Swisra machi dyal Zaouli https://t.co/i9GdcjIpE0,Neutral
@bassma_berrada Ana mabghitch ndou9 bghit nakol onghamas hhhh #BAMA2016PlatinumEdition_SaadLamjarred #SaadLamjarred,Neutral
@TMFaisalx ANA MAGHREBI OU ANA ABGHA A3RAF CHO KALIMAT KAFO ATMANA EL RAD,Neutral
@najlaabadi baz hadchi li rangoul ema li fih chi vice ra fih siro taçAW LAH F LBNT,Negative
@massemomar @Abdou14M A quel moment nga degg Serigne Moustapha Sy wax ni dafa yoor monopole de la vérité ? De deux Serigne Moustapha Sy nekoul sa morom baye sakh bay neik sa morom tei dou ioe ya niuy wax luniuy degg. Say lecons de moral diokh ko sen khar kogn yi 👋🏾,Neutral
@donilapute toi tu passe ton temps a critiquer et boire nta hwa lwa3r,Neutral
@AmalZanobia @Amaluniv_bety @BenzeRachida ana ga3 tiskatiyin kanbghihom wakha makan3rfhomch &lt;3 &lt;3,Positive
Ya rebbi tsehel 3lina f had nhar. #blessed #goodmorning @ Al Boustane http://t.co/tK6WMlsXyh,Positive
"@huascaya Hta ana kanou kayt7ydouli shi 2 jrs hadi wa9ila , db la",Neutral
@RisouZizou ouii ms machi mochkil ba3da 2m katsawar mzy ou katbayan jomhor,Positive
@chekbi1 @BFMTV @manuelvalls Goulou yemchi 5azi b les catalans hhhh,Neutral
khes ykoun 3ndk dakchi dyal n7as bech tvalidi DIF b 11 ou nta kan 3ndek 2.25 f controle,Neutral
@na_libo Hdra dial lm39oul kangoulik,Neutral
@EstelleKurt hram hadchi li kadiri fih 😔,Negative
Salam kidayrin alhbab lyouma sehd oul3jaj f agadir bnisba lohkm 3la aljamila jihan howa anaha dir zif oumtaakd 100% ghayji m3aha,Positive
@souka_official hhhhhhhhhhhh amin ya rab walah yawaf9ak fi kol a3malik jaya kanmout 3lik,Positive
Ana zahri nassini 3lik ntiya ma jiti,Neutral
@zheursgh nas tgol bli thakar hssabha machi kant jasosa ya3ni haydoh liha daba,Negative
@al3arabnews @HananeElKhader @Mo7amedRa7im chokran lidaamikom hanane ahla khabar,Positive
Fin d'acte du KGB algerien.! https://t.co/uxnSGKNYGm,Neutral
@Taw_EM @zuvielNichts @JijyBear @Vilaine_D Ewa n9ess mn lhedra dl bnat bach nmeyzo binatkom,Negative
@etoglas @Fhamator1 iwa imta ndrbo chi zlaga d rayb?,Neutral
@FatihiW @loken42 Ou ana 7amdoulah le9it li yeteyeb Liya chehiwate 🤗,Positive
@SaraSaraalaoui9 3lax katjibo takhalof dyalkom ltwitter dyal hanan #حنان_سلطانة_العرب,Negative
@tiskatiiiii 3adrak akhti wlh ana gotlkom chi wehdin fhad tag khesshom hada http://t.co/84BFALNPJZ,Neutral
@JIHANENAMJIHOPE @MayaLee97 @Snapchat Hhhhhhhh La ana kankhalii 3ndha wnssift lia li7tiyat wajiib hhhh #BTSBBMAs wkanb9a tahoma ndirlihom m3aya chi marat hhh,Neutral
@Cwijdane hhhhhhhhhhhh ta ana radi n9ara3 ; wydad + real madrid waa bzaaf,Neutral
@Mohamad_kaiss Nawartna b rjou3ak Ya Mhamad A7la energie minak love u ♡♡· #FROM_MOROCCO,Positive
@zi_zanouba mochkila safi 3erft dik li kaygolo liha yazn min saudia hadik rah machi saudia rah min fans dyal lme3eza lbaherh te3yarat me3ana,Negative
Wech galo like jay mn lhihe... Tji tgul liya #marrakech fiha la plage,Neutral
@hamza_beurdy hhhh ana rah 9aleb m3ah l pc,Neutral
@nemocanario SSI Hamid ramadan mazal ma hak 3la fettah alaoui 😜😜😜😜😜😜😜,Neutral
@saadlamjarred1 3lach matriyarch sourt l profil dyalk fel Facebook ou Twitter #saadLamjarred #Ghaltana https://t.co/Cw0lSpgVbJ,Negative
@hananeacademy11 @ar1_ilham rah kanet dayra lih follow o 3anda mouchkil f insta m 9bayla o hiya follow unfollow,Neutral
@Lahcenhaddad chokraan bzaaaf chahada dialak 3la ibtissam tiskat kan3tazo biha kamaghariiiba we thenk you so mush #IbtissamTiskat,Positive
@b_selwa hadak li 3amel follow le btissam tle3 faux compte,Neutral
#SouhailaBenLachhab Hbiba 9o3di Dima m3a Ihab o souka li yhebouk o B3di 3la dina Hadi Tnaf9ek Walah Salami l ahla Anis W Souka o ihab whanan,Positive
"@achrafwsafi @BZY22 Ah ya li knti sahbi , f drf nhar wliti 3doya",Negative
Wahd lbnt ayi haja nhtha katretweetini w tsbni .. man3rf wach tayha fia wla malha,Negative
@soukainabouni joyeux anniversaire ma chérie sokaaaaaa 3o9ba l 200 ans w tha9i kol ahlamk inchallah🎂🌸💕😍😍😍😘😘😘💃💃💃💃🎀💋 https://t.co/YJYfkKt4EQ,Positive
"Lyum aytla7 Monda dyal Nouvo ! La mtl3ch f trending an7qd 3la zaml boh had publique, hitach ki khliw lmossiqa wki tmzko lkhora2 .",Negative
@NisrineQuas @assmitta0 3tini rabit barayt hla yrbo7hom wahadak rah machi malha layli,Negative
"Oh, nein! Ich bin schon zum dritten Mal in ___ Abschlussprüfung durchgefallen! émoticône gasp a) der b) die",Neutral
@baulle004 @ahlem198727 torkie+sini m5alta b d9i9 nzido 3lha chwiya dyal basbasse o zabda ila fhamti chi 7aja ha wajhi 9iw9iw9iw,Negative
"@PPkzd Jamen, jeg kan sagtens forstå, hvis folk synes, det er for tidligt. Jeg taler om at forstå intentionen bag. Så kan man jo være uenig.",Neutral
@FamilyLamjarred sba7ek ward o foll o yasmin,Positive
@amalalfahadx pliiiiiz tiskatiyin salomiyiiiiiin sawtooo l3abd salam rah fatoo la5or,Neutral
@zi_zanouba @IbtissamTiskat kandoun ouii hit mhat 3andha 2 jours hadi ml9athach o rej3at 3andhaa,Neutral
@3ibtissam_fans @123mondial @farida97chairi Hhhhhhhhhhh wagha sakti daba ihjmo 3lik hhhhhhhh kaybano gha man lil l lil b7al khafafich h 😂😂😂😂,Negative
@BCallme @Hedonistos @NabW_ 13 ans f la twittoma c 48 ans hh,Neutral
@Omagh_Omagh hhhh ach dar lik mskin,Neutral
#HappyBirthdayAssaf Kol sanah ou nta bi khir 3o9bal l10,Positive
Jamalaak Ya lghali akho l GHaliii #abdulsalam_alzayed #Zayed_alzayed &lt;3 kanbghiiiwkoom bezaf :* :* &lt;3 &lt;3 &lt;3 http://t.co/dESVMk9mpm,Positive
@KaoutherSofi @swikissa mostawa ta7t sefr fin baghin tdl nafskom atkar ya jazayriyat blok blok had sa7btna mal9at maydar siri t9ray siri,Negative
@rayascoop zwina besah li 9belha hsen,Positive
@RaniaLimani @SaaraBetty kifach mal ahmad al madi,Neutral
sweli la polonaise welahita katmsah,Neutral
@zyxsouleri Hna o machi hna 🤚,Neutral
@Zotob_ wa nta li pauvré,Negative
@a7dadi @KaoMatka hanta tchouf ghadi ykhrjo fiha dnoubna hhh,Negative
@cubitusvalgus kan 7awl w saffi 👉🏽👈🏻,Neutral
