commentaire,sentiment
bkite hmdulah hmdulah hdaya walidiya lah ikhalihom liya yarbi😭😭😭😭😭😭😭😭😭😭😭😭😭,triste
🥺😭,triste
Beketini a khoya 😭😭,triste
Natmana nchouf 9isa dialak f chi film 2020 w Ana mat2akad ghadi tanja7,triste
Hata ana makan3ach 3andi hkayti twila tabonaw 3adi 3afakom ntoma amali fadanya🙏matkhybonich,triste
🤔🙃😢😢🤔🖐💪💪✊✊👏👏👏☝☝☝,triste
Bkatni 😢😢😢,triste
9issa zwiina ohazina 😢😢,triste
كنسمع وفنفس لوقت دموعي كيسيلو🥺😔🖤,triste
😥😩😩😩😭😭 بكيتيني فهاد ليل.02:30,triste
بكيتيني والله ربي يحسن العوان😔,triste
Khoya 9isa zwina walakin ila b9iti katktr mn l ichhar nas matb9ach tsm3 lik nasiha lilah,triste
😭😭😭😭 had 9isa katbaki khoya 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭hasit bik,triste
سميت هاد لحن ؟؟؟,triste
السلام وعليكم في الحقيقية هاذ القصة بكاتني بزاف كنطلب من هاد سيد بغيت نهضر معاه بغيت نسول فهاد سيد لي يعرف نمرة ديالو يرسلهالي,triste
Danya wa3ra rabi ybrik o 😢😢😢😢😢😢 khtabrk,triste
mat2atartch bzf jatny l9issa khayallia bzzf,triste
اخويا القصص ديالك كاملين كايبكيوني و الله ما مانقدر نحبس دموعي عندك طريقة واعرة في الحكي تبارك الله عليك و الله,triste
Zwina Bazaf. Nihayaa hazina😢,triste
برافو عليك قصة واعرة بكيتينا فيها الله يعاونك,triste
😭😭😭😭😭😭😭😭😭😭😭😭😭😭😢😢😢😢😢😢😢😢🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦,triste
lah yaRebiiiii😔😟😟😟😟😟 hadchi mktab akhouya mktab,triste
خويا دير تجربة سميتها Larry,triste
منين ماما جاها السرطان كنت هزيت واحد الهم تقيل بزاف . مسؤولية خوتي الصغار و الدراسة ديالي ف الجامعة  و اكيد ماما اللي مرضات و كان خصني نتهلا فيها و انا كنت هزيت هاد الدقة و صبرت و كنت كنبين لكلشي انا قوية حيت لا خوتي شافوني كنبكي و منهارة ولا ماما شافتني كيفاش غا تقدر تشافا . كنت كنقرا و كنحاول نخدم و نعاون راسي و ماما . بقيت هاكاك مدة عام عاد شدني كتئاب تا الحمد الله تقادات الامور و انا نجحت و ماما حالتها تحسنات وانا خدمت و خويت البلاد  و حسيت براسي الحرب سالات عاااد شدني كتئاب و رجع علي كلشي .من اللحظة اللي سمعت فيها ماما مرضات  و ديك الفترة كلها اللي كنت كنعاني فيها الداخل و ما كنبينش رجع علي كلشي دازت علي فترة قاصحة بزاف والحمد الله علا كل حال دازت . تهلاو فًراسكم اخوتي را عندكم غا راسكم,triste
عندي  نفس الشي و الله  😢😢 و المشكل ماعرفت منين نبدا طلقت على راسي ماعرفتش شنو ندير كانمشي للطبيب قتلوني غير بالأدويةaripiphi  zepam fluoxet alpraz ديما كانبداه و كانقطعو بحالك و مزالة هاكدا,triste
😢😢😢,triste
Thank youuu saber 🥺,triste
الاكتئاب مرض من أمراض العصر المنتشرة ، وهو انعزال المريض عن محيطه ، وفقدان الاتصال بمن حوله ، ويؤدي به إلى اليأس ، وقد ينتج عنه التفكير بالتخلص من الحياة ظناً انها الحل الأخير وسبيل للراحة ،وأهم الأسباب النفسية لهذا المرض الشعور باليأس ، وعدم القدرة على تحمل ضغوطات الحياة . إن الإسلام العظيم عالج هذا الأمر من بدايته ، فلا مكان للاكتئاب في حياة المسلم ، فحياته كلها لله مليئة بالطاعة ، والذكر ، والأمل برحمة الله ، فالمؤمن يعلم أن حاله كله خير ، إذا أصابه خير شكر الله ، وإذا أصابه شر صبر ، فالمؤمن يعالج الضغوطات النفسية بسلاحي الصبر والشكر، ولا يوجد في الدنيا داء عضال لا دواء له ، ولا شفاء ، فالنبي صلى الله عليه وسلم ( إِنَّ اللَّهَ لَمْ يُنْزِلْ دَاءً إِلَّا أَنْزَلَ لَهُ شِفَاءً، عَلِمَهُ مَنْ عَلِمَهُ وَجَهِلَهُ مَنْ جَهِلَهُ»، وَفِي لَفْظٍ: «إِنَّ اللَّهَ لَمْ يَضَعْ دَاءً إِلَّا وَضَعَ لَهُ شِفَاءً، أَوْ دَوَاءً، إِلَّا دَاءً وَاحِدًا، قَالُوا: يَا رَسُولَ اللَّهِ مَا هُوَ؟ قَالَ: الْهَرَمُ) قَالَ التِّرْمِذِيُّ: هَذَا حَدِيثٌ صَحِيحٌ، وهذا ينطبق على الأدواء العضوية ، والنفسية ، ويشمل الأدواء الفردية ، والاجتماعية . أهم علاج الاكتئاب في الصيدلية الإسلامية : أولاً :الاعتصام بالله ، واللجوء إليه ، والأمل في فضله ، والرجاء في رحمته ، فهو أرحم بنا من أنفسنا ، و من أمهاتنا ، ومن آبائنا والله يقول ( إِنَّهُ لَا يَيْأَسُ مِن رَّوْحِ اللَّهِ إِلَّا الْقَوْمُ الْكَافِرُونَ ) سورة يوسف 87 والله سبحانه وتعالى لا يستعصي عليه مرض ، ولا مشكلة مادية ، ولا معنوية ، فكم من مريض شفاه ، وكم من فقير أغناه ،وكم من سائل أعطاه ، وكم من ضال هداه ، وكم من ضعيف قواه. الثقة والاعتصام بالله أول وأهم طرق الحل ، وهو النور الذي يضيء الطريق ، واعلم ان أشد ساعات الليل ظلمة التي تسبق الفجر ، وأن سنن الله الله أن يجعل من بعد العسر يسرا. ضاقت فلما استحكمت حلقاتها فرجت وظننت أنها لا تفرج.,triste
The same feelings I live the same situation right now 💔,triste
ومن أعرض عن دكري فإن له معيشة ضنكة...ما خلينا الله حتى شي حاجة ناقصة فالدين، قلب على معيشة ضنكة و شوف غادي تبان ليك هي هادي الحالة لي وصلتي ليها. دزت من تجربة شخصية قريبة بهادشي والحاجة الوحيدة اللي كتحميني هي الصلاة و قرأة القران. الله يشوف من جيهتك أخاي صابر.,triste
سلام عليكم انا المغرب انا هدى في الاكتياب الله 😢حمدالله 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,triste
لو قلتلك انا عشت نفس تجربه ومقدره شعور ديالك وعطتني نظره ايجابيه رغم كاين شي أمور ماتقدرش تعالجها رغم محولات يمكن حيث مكتوبه عليا صراع مع نفس وترى نفس اكثر عدو لهذا عادي  ونصحكم فن اللامبالاة,triste
اخي عندما تحس انك لست بخير اتجه لله سبحانه وكلامه,triste
💔 i need help,triste
معرفتش علاش بكيت أنا 😭🥺السبب أش والله معرفنا السبب,triste
The same thing for me💔it's really hard😓,triste
"المقارنة، الناس السلبية، المشاكل، الاحداث السلبية اللي تيوقعو معاك او الكلام السلبي، و الإبتعاد على الدين، معاتبة الوالدين ليك، اهمال النفس، التفكير الزائد، عدم التخلص ممن التراكمات، عدم مسامحة الذات و احتقارها،النوم لفترة طويلة، اختيار البكاء
هاد الحوايج بالضبط تيخليوك تدخل فالاكتئاب ويولي دوامة لا تنتهي ايلا مجلستيش عالجتي كل حاجة بوحدها على حدة. و تكون االبداية باتباع الدين الصحيح كاع الحوايج غيتقادو معاهوم و غيتعاونو",triste
Ana rah kan fiya rah ana ba9i makan3achs o dayman kan5af man Kolchi o 3ad dawni l tbib ma t5aylich ❤😢,triste
"وقعتي بحالك ولكين مكانش حديا مي وكان قلبي كوجعني بزاف وصافي تا انا داتني عمتي فين ما بغيت والو وكان عندي جهوي وصافي مبقيتش نقدر نوكل موالو صافي حيت جدي مات اول مرا يموت حد عزيز عليا 
صافي كنت كنتسنا لموت صافي وحتى عمامي ملو من حالتي تا وليت مولفها دابا ولا كتخف عليا ولكين مزال فاش كنفكر فلموقف كنبدا نبكي نبكي",triste
ناري شحال بكيت 😢😢,triste
ا😢😮,triste
انا وقع ليا نفس الاكتئاب ديالك وليت كنخاف من الموت وفليل كنحس بان ملك الموت غادي يقبض روحي وهو غادي يبان ليا ولات كطلع معايا الخلعة وكنتخنق صافي نمشي نجري نشغل ضو ومكنعرف مندير واش نقولها لماما ولا بلاش وهادشي بسباب الموت ديال جدي كان عزيز عليا بزاااف الله يرحموا ومن بعد شهرين ماتت جدة تماما الله يرحمها يارب ولا الناس كيموتوا بزااف حدانا كنقول انا نوبتي المرو جاية وكنقول غادي نموت وانا مكنصليش وكيما قلتي بديت نصلي دخلاتني ماما لدار القرآن وخرجت من هاد الاكتئاب صراحة صعيييبب والله الله بنجيكم منو 😢,triste
بحالا كتعاودي داكشي لي كنعيش😥,triste
سبحان الله دابا جيت من مور عام ملي كان فيا الإكتئاب والوسواس وكنت ملي كنتفرج فهاد الفيديو كنرتاح شوية ودابا فعلا للاسف جدي يلاه مات هادي شهر ونص دابا الله يرحموا ❤,triste
بكيتيني والله😢❤,triste
ولله هيل بكيتيني 😢😢😢😢😢❤❤,triste
B9iti fiya bzf wlh😢😢,triste
حتى أنا جاني الإكتئاب وأنا باق صغير حتى أنا كنخف من لموت بزاف ومنين كنجي نعس كمتخيل غدًا معنديش يفش غنموت وفيجي شيزلزلل انا فعمزي١١لعام دبا تحسنت شويا ولكن منين كنجي نعس حيجيني تخيل دبا أنا عرف بلي هدشي بزاف ديال ناس فيكوا بغاو ليكا بغاو لفلوس لا الهيبادالله سلمي على ريحان وسلمى أنا راني كنتبعكم بزاف❤😢…….,triste
😢😢😢😢😢ليعفو,triste
Tratli nfss l7aja knt kan9ra f 3ac ou knt kanbghi wahed dri ou bsbabou wlaw kayxdouni des crises de panique ou ldaba mzl kayxdouni ou lmoxkila s7abati wa9fin m3aya mais ta w7da ma7assa bdakxi li kan3ix 7it bsh dakxi s3iib bzzf. Katwli kat7ssi b9lbk kayt9t3 ou kaybda kaydrb mjhd ou katbdaay tkhn9ii ou kaywliiw ydk bardiin ou bzzf dl7wayj mhm aswaa2 cho3or f L7ayaat💔💔,triste
نفس الحالة  الي دزت منها عام وهاد عام تاني ودابا كنتعالج بالأدوية 😢😢😢,triste
Tana kane kijini nefs ihsase 😢,triste
😢وراه تادبا مكاديريش الزيف,triste
انا كنقر فالسابعة فايت وقع ليا بحال هدشي كنت كنبكي و كنتزير بزاف والحمد لله ❤❤,triste
اصعب حجا الاكتئاب لي مجربوش مغيعرفش بنسبة لها الفيديو اثر فيا بزاااف حتى دموع كيطحو لي,triste
قصتك قاستني بزاااف خصوصا انني حاليا كنعاني من إضطرابات الأكل وبوليميا وإكتئاب وهدشي 3ans وهو فيا ومقداش نتخطى وتاحد مافهمني 😢💔,triste
khti ta ana kano fiya nefs had l2a3raad kent dima kankon barka kandhk takanbda nbki bouhdi o mab9ax 3ziz 3liya nkhroj mn dar wlit ghir sada 3liya o kanbki o fax kansme3 sda3 kanb9a nghwt nghwt mais hadxi makayjinix dima ba3ed lmarat kankon 3adiya farhana en plus ana wahed lbnet dahokiya o msatya ana hiya dik li kadir jaw fl3a2ila fclasse m3a shabatha kent kankol ana bouhdi ta hed makayfhmni wakha n3ya mandwi ta hed maghayfhm dakxi li kanhs bih bon mama hiya li 9riba liya bzff wlat katn3es hdaya o tb9a t9ra 3liya lQuran b9at m3aya hta wlit kansli xwiya bxwiya hta wlit kansali o mansax 3awtani shabati li tahoma 3awnoni bzf mhm ta ana kan kayhsbni ana bouhdi li haka sa3a bzff mhm lhmdlhh o lay yxafi ayi mridd o kanseh ayi hed mridd bxi haja it9arb men lah hit makaynx xi dwa hsn mn ta9arob mn lah byby 🥺💖,triste
آه بصح حتى أنا مات خويا وأنا فثامنة وعشت هاد شي ولاكين أنا خرجت راسب براسي وعاوناتني صلاة وحق الله الله يرحمو ويرحم جميع اموات المسلمين والمسلمات,triste
nfs l9isa w f sinkyam niit mayhs gha li mjarb😢,triste
ولله تابكتيني❤😢,triste
ميحس بالجمرة غير لكواتو💔لوسواس لقهري,triste
انا مكاتبا او غير كانبكبي 😢او كانتعصب او مكنمحلش جسدي وليت خااايبة😭💔💔كرررهت رااااااااسي عفاااااااااااااااك جاوبني زييين طلعني في فيدو ✨💔💔😭او مكنحملش لخير لناااس او محسااادة 💔😔😔,triste
حتى أنا عقلا نهار ماتت بكيت دارت بيا دنيا والله ،. ميمكنش صدمة و الإحساس لي حسيت بيه ديك ساعة.. و لموت ديال البسطاوي الله يرحموا حتى هو بكيت ،. عزيز عليا بزاف الله يرحموا فهاد نهار يا ربي,triste
انا جاتني هد لحالة فمووت خوويا لي رحمو 💔,triste
حسيت بك والله تبكيت😢,triste
